name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Bennedict Mathurin,UTIL,2400,IND,14.62,7.51,6.091666666666666,3.1291666666666664,2.62,21.93,3600,0
Thomas Bryant,UTIL,1200,IND,6.63,3.08,5.5249999999999995,2.566666666666667,0.63,9.94,1800,0
Kenrich Williams,UTIL,1000,OKC,5.38,2.57,5.38,2.57,0.38,8.07,1500,0
Obi Toppin,UTIL,4400,IND,20.12,9.96,4.572727272727272,2.263636363636364,-1.88,30.18,6600,0
Ben Sheppard,UTIL,2000,IND,7.38,3.09,3.69,1.545,-2.62,11.07,3000,0
TJ McConnell,UTIL,4000,IND,17.12,8.49,4.28,2.1225,-2.88,25.68,6000,0
Isaiah Joe,UTIL,1600,OKC,5.12,2.59,3.2,1.61875,-2.88,7.68,2400,0
Aaron Wiggins,UTIL,3200,OKC,12.62,5.86,3.943749999999999,1.8312500000000003,-3.38,18.93,4800,0
Ajay Mitchell,UTIL,1000,OKC,0.6,0.0,0.6,0.0,-5.0,0.0,1500,1
Andrew Nembhard,UTIL,6800,IND,27.38,14.04,4.026470588235294,2.064705882352941,-6.62,41.07,10200,0
Isaiah Hartenstein,UTIL,5400,OKC,20.13,10.56,3.727777777777778,1.9555555555555555,-6.87,30.2,8100,0
Aaron Nesmith,UTIL,6400,IND,23.38,12.37,3.6531249999999997,1.9328124999999998,-8.62,35.07,9600,0
Myles Turner,UTIL,7400,IND,28.38,15.55,3.835135135135135,2.1013513513513518,-8.62,42.57,11100,0
Alex Caruso,UTIL,6200,OKC,22.38,11.32,3.6096774193548384,1.8258064516129033,-8.62,33.57,9300,0
Cason Wallace,UTIL,5000,OKC,15.12,8.18,3.0239999999999996,1.636,-9.88,22.68,7500,0
Chet Holmgren,UTIL,8400,OKC,32.12,16.45,3.8238095238095235,1.9583333333333333,-9.88,48.18,12600,0
Shai Gilgeous-Alexander,UTIL,13000,OKC,54.88,29.86,4.2215384615384615,2.296923076923077,-10.12,82.32,19500,0
Pascal Siakam,UTIL,9400,IND,36.88,18.58,3.9234042553191495,1.9765957446808506,-10.12,55.32,14100,0
Luguentz Dort,UTIL,5800,OKC,18.88,9.56,3.2551724137931033,1.6482758620689655,-10.12,28.32,8700,0
Jalen Williams,UTIL,10400,OKC,39.88,21.14,3.8346153846153848,2.032692307692308,-12.12,59.82,15600,0
Tyrese Haliburton,UTIL,11000,IND,41.12,20.98,3.738181818181818,1.9072727272727272,-13.88,61.68,16500,0
