name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Isaiah Joe,UTIL,1200,OKC,8.38,3.73,6.983333333333333,3.1083333333333334,2.38,12.57,1800,0
Thomas Bryant,UTIL,1400,IND,8.87,3.68,6.3357142857142845,2.628571428571429,1.87,13.3,2100,0
Aaron Wiggins,UTIL,1600,OKC,9.38,4.73,5.862500000000001,2.9562500000000003,1.38,14.07,2400,0
Obi Toppin,UTIL,4000,IND,21.12,10.6,5.28,2.65,1.12,31.68,6000,0
TJ McConnell,UTIL,3600,IND,17.12,8.15,4.7555555555555555,2.2638888888888893,-0.88,25.68,5400,0
Bennedict Mathurin,UTIL,3000,IND,13.62,6.59,4.54,2.1966666666666668,-1.38,20.43,4500,0
Ben Sheppard,UTIL,2000,IND,7.38,3.52,3.69,1.76,-2.62,11.07,3000,0
Cason Wallace,UTIL,4800,OKC,20.38,9.8,4.245833333333334,2.041666666666667,-3.62,30.57,7200,0
Jaylin Williams,UTIL,1000,OKC,1.0,0.0,1.0,0.0,-5.0,0.0,1500,1
Kenrich Williams,UTIL,1000,OKC,1.9,0.0,1.9,0.0,-5.0,0.0,1500,1
Ajay Mitchell,UTIL,1000,OKC,2.0,0.0,2.0,0.0,-5.0,0.0,1500,1
Luguentz Dort,UTIL,5400,OKC,21.38,11.02,3.959259259259259,2.0407407407407407,-5.62,32.07,8100,0
Shai Gilgeous-Alexander,UTIL,12400,OKC,55.88,30.03,4.506451612903226,2.421774193548387,-6.12,83.82,18600,0
Andrew Nembhard,UTIL,7000,IND,27.38,14.28,3.911428571428571,2.0399999999999996,-7.62,41.07,10500,0
Alex Caruso,UTIL,5800,OKC,21.38,11.4,3.686206896551724,1.9655172413793105,-7.62,32.07,8700,0
Chet Holmgren,UTIL,8000,OKC,32.12,16.98,4.015,2.1225,-7.88,48.18,12000,0
Jalen Williams,UTIL,10000,OKC,41.38,22.0,4.138,2.2,-8.62,62.07,15000,0
Isaiah Hartenstein,UTIL,6000,OKC,21.13,11.1,3.5216666666666665,1.8499999999999999,-8.87,31.7,9000,0
Myles Turner,UTIL,7600,IND,27.38,14.61,3.602631578947368,1.9223684210526315,-10.62,41.07,11400,0
Aaron Nesmith,UTIL,6800,IND,21.88,11.55,3.217647058823529,1.6985294117647058,-12.12,32.82,10200,0
Pascal Siakam,UTIL,9600,IND,34.38,18.23,3.5812500000000003,1.8989583333333335,-13.62,51.57,14400,0
Tyrese Haliburton,UTIL,11200,IND,38.62,21.04,3.4482142857142852,1.8785714285714286,-17.38,57.93,16800,0
