name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Nikola Jokic,C,11000,DEN,62.62,32.99,5.692727272727273,2.999090909090909,7.62,0
Jayson Tatum,SF/PF,9000,BOS,52.38,27.07,5.82,3.0077777777777777,7.38,0
Shai Gilgeous-Alexander,PG,9500,OKC,52.62,28.36,5.538947368421052,2.985263157894737,5.12,0
Jalen Williams,SF/PF,7300,OKC,41.38,20.83,5.668493150684932,2.8534246575342466,4.88,0
Russell Westbrook,PG,4800,DEN,27.12,13.68,5.65,2.85,3.12,0
Chet Holmgren,PF/C,6700,OKC,36.12,18.99,5.3910447761194025,2.8343283582089547,2.62,0
Jalen Brunson,PG,8500,NY,44.88,22.47,5.28,2.6435294117647055,2.38,0
Josh Hart,SF/PF,6800,NY,35.88,17.19,5.276470588235295,2.527941176470588,1.88,0
Karl-Anthony Towns,C,8000,NY,41.88,21.06,5.235,2.6325,1.88,0
Kristaps Porzingis,C,6300,BOS,33.12,17.4,5.257142857142857,2.761904761904762,1.62,0
Jamal Murray,PG/SG,7500,DEN,38.62,20.16,5.149333333333333,2.6879999999999997,1.12,0
Aaron Gordon,PF/C,5700,DEN,28.88,16.32,5.066666666666666,2.863157894736842,0.38,0
Luguentz Dort,SG/SF,4200,OKC,21.38,10.73,5.09047619047619,2.5547619047619046,0.38,0
Alex Caruso,PG/SG,4000,OKC,20.38,10.17,5.095,2.5425,0.38,0
Jaylen Brown,SG/SF,7000,BOS,35.38,18.83,5.054285714285714,2.6899999999999995,0.38,0
Christian Braun,SG/SF,5300,DEN,25.88,12.71,4.8830188679245285,2.39811320754717,-0.62,0
Isaiah Hartenstein,C,5900,OKC,28.63,14.98,4.852542372881356,2.538983050847458,-0.87,0
Derrick White,PG,6500,BOS,31.62,16.73,4.864615384615385,2.573846153846154,-0.88,0
OG Anunoby,SF/PF,6100,NY,29.38,15.05,4.81639344262295,2.4672131147540983,-1.12,0
Cason Wallace,PG/SG,3400,OKC,15.12,7.37,4.447058823529412,2.1676470588235293,-1.88,0
Michael Porter,SF,5100,DEN,23.38,11.85,4.584313725490196,2.3235294117647056,-2.12,0
Isaiah Joe,SG/SF,3200,OKC,12.38,6.12,3.8687500000000004,1.9125,-3.62,0
Payton Pritchard,PG/SG,4500,BOS,18.12,8.8,4.026666666666667,1.955555555555556,-4.38,0
Mikal Bridges,SG/SF,6000,NY,25.38,13.72,4.23,2.286666666666667,-4.62,0
Miles McBride,PG/SG,3300,NY,11.88,5.6,3.6000000000000005,1.6969696969696968,-4.62,0
Jrue Holiday,PG/SG,5500,BOS,21.88,11.64,3.978181818181818,2.1163636363636362,-5.62,0
Mitchell Robinson,C,3700,NY,12.38,6.19,3.345945945945946,1.672972972972973,-6.12,0
Peyton Watson,SF/PF,3100,DEN,8.87,4.19,2.8612903225806448,1.3516129032258064,-6.63,0
Aaron Wiggins,SF/PF,3500,OKC,10.38,5.03,2.9657142857142857,1.4371428571428573,-7.12,0
Al Horford,PF/C,5000,BOS,17.38,9.14,3.476,1.8280000000000003,-7.62,0
Luke Kornet,C,3300,BOS,8.37,3.44,2.536363636363636,1.0424242424242425,-8.13,0
Sam Hauser,SF/PF,3200,BOS,6.63,2.89,2.071875,0.9031250000000001,-9.37,0
Cameron Payne,PG/SG,3100,NY,5.12,2.62,1.6516129032258065,0.8451612903225806,-10.38,0
DeAndre Jordan,C,3000,DEN,5.5,0.0,1.8333333333333333,0.0,-15.0,1
