name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Gary Payton,UTIL,2000,GS,13.12,6.37,6.56,3.185,3.12,19.68,3000,0
Pat Spencer,UTIL,2200,GS,9.88,4.42,4.490909090909091,2.0090909090909093,-1.12,14.82,3300,0
Trayce Jackson-Davis,UTIL,3600,GS,16.37,8.57,4.5472222222222225,2.3805555555555555,-1.63,24.56,5400,0
Buddy Hield,UTIL,5400,GS,24.88,14.0,4.607407407407408,2.5925925925925926,-2.12,37.32,8100,0
Jonathan Kuminga,UTIL,5200,GS,22.38,12.23,4.303846153846154,2.351923076923077,-3.62,33.57,7800,0
Donte DiVincenzo,UTIL,6200,MIN,25.38,12.02,4.0935483870967735,1.9387096774193548,-5.62,38.07,9300,0
Naz Reid,UTIL,6000,MIN,24.38,12.67,4.063333333333333,2.111666666666667,-5.62,36.57,9000,0
Moses Moody,UTIL,3400,GS,10.38,5.41,3.0529411764705885,1.5911764705882354,-6.62,15.57,5100,0
Mike Conley,UTIL,4400,MIN,15.38,7.51,3.4954545454545456,1.7068181818181818,-6.62,23.07,6600,0
Nickeil Alexander-Walker,UTIL,4200,MIN,13.62,6.54,3.242857142857143,1.5571428571428572,-7.38,20.43,6300,0
Draymond Green,UTIL,8200,GS,32.62,15.51,3.9780487804878044,1.8914634146341465,-8.38,48.93,12300,0
Brandin Podziemski,UTIL,7200,GS,27.38,14.76,3.8027777777777776,2.0500000000000003,-8.62,41.07,10800,0
Jimmy Butler,UTIL,11200,GS,46.12,23.83,4.117857142857143,2.127678571428571,-9.88,69.18,16800,0
Rudy Gobert,UTIL,7800,MIN,26.37,12.97,3.380769230769231,1.662820512820513,-12.63,39.56,11700,0
Julius Randle,UTIL,10400,MIN,38.62,19.44,3.713461538461538,1.8692307692307693,-13.38,57.93,15600,0
Anthony Edwards,UTIL,12800,MIN,49.88,25.65,3.896875,2.00390625,-14.12,74.82,19200,0
Jaden McDaniels,UTIL,8000,MIN,25.12,13.61,3.14,1.70125,-14.88,37.68,12000,0
