name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Ben Sheppard,UTIL,2000,IND,7.38,3.78,3.69,1.89,-2.62,11.07,3000,0
TJ McConnell,UTIL,4200,IND,18.12,8.82,4.314285714285715,2.1,-2.88,27.18,6300,0
Aaron Wiggins,UTIL,2800,OKC,10.62,5.03,3.7928571428571427,1.7964285714285715,-3.38,15.93,4200,0
Bennedict Mathurin,UTIL,4000,IND,16.62,8.36,4.155,2.09,-3.38,24.93,6000,0
Isaiah Joe,UTIL,1600,OKC,4.37,2.05,2.73125,1.2812499999999998,-3.63,6.56,2400,0
Isaiah Hartenstein,UTIL,4800,OKC,20.13,10.85,4.19375,2.2604166666666665,-3.87,30.2,7200,0
Cason Wallace,UTIL,3800,OKC,15.12,7.25,3.9789473684210526,1.907894736842105,-3.88,22.68,5700,0
Obi Toppin,UTIL,5000,IND,20.12,10.6,4.024,2.12,-4.88,30.18,7500,0
Thomas Bryant,UTIL,1000,IND,2.0,0.0,2.0,0.0,-5.0,0.0,1500,1
Kenrich Williams,UTIL,1000,OKC,4.6,0.0,4.6,0.0,-5.0,0.0,1500,1
Johnny Furphy,UTIL,1000,IND,0.6,0.0,0.6,0.0,-5.0,0.0,1500,1
Ajay Mitchell,UTIL,1000,OKC,0.8,0.0,0.8,0.0,-5.0,0.0,1500,1
Andrew Nembhard,UTIL,6800,IND,26.38,13.05,3.879411764705882,1.9191176470588236,-7.62,39.57,10200,0
Luguentz Dort,UTIL,5200,OKC,18.38,9.22,3.5346153846153845,1.7730769230769232,-7.62,27.57,7800,0
Aaron Nesmith,UTIL,5800,IND,21.12,11.42,3.6413793103448278,1.9689655172413791,-7.88,31.68,8700,0
Chet Holmgren,UTIL,8200,OKC,33.12,17.51,4.039024390243902,2.135365853658537,-7.88,49.68,12300,0
Alex Caruso,UTIL,6400,OKC,22.38,12.61,3.496875,1.9703125,-9.62,33.57,9600,0
Myles Turner,UTIL,7600,IND,28.38,14.05,3.7342105263157896,1.848684210526316,-9.62,42.57,11400,0
Jalen Williams,UTIL,10200,OKC,39.88,21.9,3.9098039215686278,2.1470588235294117,-11.12,59.82,15300,0
Shai Gilgeous-Alexander,UTIL,13800,OKC,55.88,29.62,4.04927536231884,2.146376811594203,-13.12,83.82,20700,0
Pascal Siakam,UTIL,9800,IND,34.62,18.91,3.5326530612244897,1.929591836734694,-14.38,51.93,14700,0
Tyrese Haliburton,UTIL,11400,IND,42.38,22.1,3.717543859649123,1.9385964912280702,-14.62,63.57,17100,0
