name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Aaron Wiggins,UTIL,1000,OKC,9.38,4.46,9.38,4.46,4.38,14.07,1500,0
Isaiah Joe,UTIL,1200,OKC,8.38,3.6,6.983333333333333,3.0,2.38,12.57,1800,0
Nickeil Alexander-Walker,UTIL,3600,MIN,18.12,8.68,5.033333333333333,2.411111111111111,0.12,27.18,5400,0
Luguentz Dort,UTIL,3200,OKC,15.38,8.03,4.80625,2.509375,-0.62,23.07,4800,0
Terrence Shannon,UTIL,2000,MIN,8.38,3.9,4.19,1.95,-1.62,12.57,3000,0
Cason Wallace,UTIL,4000,OKC,16.12,8.57,4.03,2.1425,-3.88,24.18,6000,0
Mike Conley,UTIL,4400,MIN,17.62,9.09,4.004545454545455,2.065909090909091,-4.38,26.43,6600,0
Alex Caruso,UTIL,4800,OKC,19.12,9.65,3.9833333333333334,2.010416666666667,-4.88,28.68,7200,0
Kenrich Williams,UTIL,1000,OKC,1.9,0.0,1.9,0.0,-5.0,0.0,1500,1
Anthony Edwards,UTIL,11200,MIN,50.88,26.49,4.542857142857143,2.3651785714285714,-5.12,76.32,16800,0
Jalen Williams,UTIL,9400,OKC,40.38,20.68,4.2957446808510635,2.2,-6.62,60.57,14100,0
Shai Gilgeous-Alexander,UTIL,12000,OKC,51.62,27.79,4.301666666666667,2.3158333333333334,-8.38,77.43,18000,0
Donte DiVincenzo,UTIL,5400,MIN,18.12,9.32,3.3555555555555556,1.7259259259259259,-8.88,27.18,8100,0
Naz Reid,UTIL,7000,MIN,24.62,12.97,3.5171428571428573,1.8528571428571428,-10.38,36.93,10500,0
Rudy Gobert,UTIL,6600,MIN,21.87,10.88,3.3136363636363635,1.6484848484848484,-11.13,32.8,9900,0
Chet Holmgren,UTIL,8800,OKC,32.12,16.17,3.6499999999999995,1.8375000000000001,-11.88,48.18,13200,0
Julius Randle,UTIL,10000,MIN,36.12,19.97,3.6119999999999997,1.997,-13.88,54.18,15000,0
Isaiah Hartenstein,UTIL,7400,OKC,22.63,11.7,3.058108108108108,1.581081081081081,-14.37,33.94,11100,0
Jaden McDaniels,UTIL,7800,MIN,24.38,13.82,3.1256410256410256,1.771794871794872,-14.62,36.57,11700,0
