name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Kel'el Ware,C,6000,MIA,37.88,18.58,6.313333333333334,3.0966666666666662,7.88,0
Trey Lyles,PF/C,3600,SAC,24.62,12.09,6.8388888888888895,3.3583333333333334,6.62,0
Haywood Highsmith,SF/PF,3800,MIA,23.88,11.26,6.284210526315789,2.963157894736842,4.88,0
Tyler Herro,PG,9000,MIA,48.88,24.92,5.431111111111111,2.7688888888888887,3.88,0
Kyle Anderson,PF,3700,MIA,21.38,10.45,5.7783783783783775,2.824324324324324,2.88,0
Pelle Larsson,SG/SF,4600,MIA,24.62,12.47,5.352173913043479,2.7108695652173913,1.62,0
Duncan Robinson,SG/SF,4000,MIA,21.62,10.76,5.405,2.69,1.62,0
Alec Burks,PG/SG,4200,MIA,21.38,11.49,5.09047619047619,2.7357142857142858,0.38,0
Adem Bona,C,5300,PHI,26.87,14.53,5.0698113207547175,2.741509433962264,0.37,0
Lonnie Walker,SG/SF,5200,PHI,25.88,13.49,4.976923076923077,2.5942307692307693,-0.12,0
Davion Mitchell,PG,5500,MIA,26.62,14.17,4.840000000000001,2.576363636363636,-0.88,0
Tim Hardaway,SG/SF,4400,DET,21.12,10.97,4.800000000000001,2.4931818181818186,-0.88,0
Jared Butler,PG,5700,PHI,27.62,14.94,4.84561403508772,2.621052631578947,-0.88,0
Keon Ellis,PG/SG,4300,SAC,20.12,10.61,4.679069767441861,2.467441860465116,-1.38,0
Bam Adebayo,PF/C,9200,MIA,44.38,23.11,4.823913043478261,2.51195652173913,-1.62,0
Malik Beasley,SG/SF,5800,DET,26.62,13.69,4.589655172413793,2.360344827586207,-2.38,0
Jalen Duren,C,7300,DET,33.87,18.07,4.63972602739726,2.4753424657534246,-2.63,0
Quentin Grimes,PG/SG,8800,PHI,41.12,20.59,4.672727272727273,2.3397727272727273,-2.88,0
Andrew Wiggins,SF/PF,6900,MIA,31.62,17.78,4.582608695652174,2.5768115942028986,-2.88,0
Keegan Murray,PF,6100,SAC,26.88,13.43,4.406557377049181,2.201639344262295,-3.62,0
Marcus Sasser,PG/SG,3400,DET,13.38,6.71,3.9352941176470595,1.973529411764706,-3.62,0
Domantas Sabonis,C,10000,SAC,46.12,24.52,4.612,2.452,-3.88,0
Justin Edwards,SF/PF,5400,PHI,22.88,11.29,4.2370370370370365,2.0907407407407406,-4.12,0
Isaiah Stewart,C,4800,DET,19.88,9.39,4.141666666666667,1.95625,-4.12,0
DeMar DeRozan,SF,8300,SAC,37.38,19.46,4.5036144578313255,2.344578313253012,-4.12,0
Ausar Thompson,SF/PF,6600,DET,28.62,15.12,4.336363636363637,2.290909090909091,-4.38,0
Tobias Harris,PF,6400,DET,27.38,13.44,4.278125,2.1,-4.62,0
Simone Fontecchio,PF,3100,DET,10.62,4.79,3.4258064516129028,1.5451612903225806,-4.88,0
Dennis Schroder,PG/SG,6200,DET,25.62,13.77,4.1322580645161295,2.220967741935484,-5.38,0
Zach LaVine,SG/SF,7800,SAC,33.38,17.51,4.279487179487179,2.244871794871795,-5.62,0
Jonas Valanciunas,C,4000,SAC,12.87,6.16,3.2175,1.54,-7.13,0
Cade Cunningham,PG,10500,DET,45.12,24.45,4.297142857142857,2.3285714285714287,-7.38,0
Malik Monk,PG/SG,7100,SAC,27.88,14.57,3.9267605633802813,2.052112676056338,-7.62,0
Alex Reese,PF/C,3000,PHI,8.36,0.0,2.7866666666666666,0.0,-15.0,1
Kyle Lowry,PG/SG,3000,PHI,10.16,0.0,3.3866666666666667,0.0,-15.0,1
Jaime Jaquez,SG,3000,MIA,14.34,0.0,4.779999999999999,0.0,-15.0,1
Isaac Jones,PF/C,3000,SAC,5.98,0.0,1.9933333333333334,0.0,-15.0,1
Devin Carter,PG/SG,3100,SAC,10.45,0.0,3.370967741935484,0.0,-15.5,1
Ronald Holland,SF,3200,DET,11.97,0.0,3.740625,0.0,-16.0,1
Marcus Bagley,SF/PF,3200,PHI,14.72,0.0,4.6,0.0,-16.0,1
Colin Castleton,C,3700,PHI,11.97,0.0,3.235135135135135,0.0,-18.5,1
Jalen Hood-Schifino,PG,3900,PHI,13.68,0.0,3.5076923076923077,0.0,-19.5,1
Ricky Council,SF/PF,4500,PHI,19.66,0.0,4.368888888888889,0.0,-22.5,1
