name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Cason Wallace,UTIL,2000,OKC,15.12,6.98,7.56,3.49,5.12,22.68,3000,0
Jaylin Williams,UTIL,1000,OKC,10.12,4.62,10.12,4.62,5.12,15.18,1500,0
Aaron Wiggins,UTIL,1200,OKC,9.38,4.67,7.816666666666668,3.8916666666666666,3.38,14.07,1800,0
Peyton Watson,UTIL,1600,DEN,8.87,4.78,5.543749999999999,2.9875000000000003,0.87,13.3,2400,0
Nikola Jokic,UTIL,13800,DEN,66.62,35.02,4.827536231884058,2.53768115942029,-2.38,99.93,20700,0
Alex Caruso,UTIL,4800,OKC,19.12,10.83,3.9833333333333334,2.25625,-4.88,28.68,7200,0
Julian Strawther,UTIL,1000,DEN,3.1,0.0,3.1,0.0,-5.0,0.0,1500,1
Isaiah Joe,UTIL,1000,OKC,4.1,0.0,4.1,0.0,-5.0,0.0,1500,1
Luguentz Dort,UTIL,4200,OKC,15.62,8.8,3.7190476190476187,2.0952380952380953,-5.38,23.43,6300,0
Shai Gilgeous-Alexander,UTIL,12200,OKC,54.38,28.09,4.457377049180328,2.302459016393443,-6.62,81.57,18300,0
Christian Braun,UTIL,7000,DEN,28.12,15.24,4.017142857142857,2.177142857142857,-6.88,42.18,10500,0
Jamal Murray,UTIL,9200,DEN,38.62,20.09,4.197826086956522,2.1836956521739133,-7.38,57.93,13800,0
Michael Porter,UTIL,5800,DEN,20.88,11.5,3.6,1.9827586206896552,-8.12,31.32,8700,0
Chet Holmgren,UTIL,8800,OKC,35.38,17.88,4.0204545454545455,2.0318181818181813,-8.62,53.07,13200,0
Russell Westbrook,UTIL,5600,DEN,19.12,10.04,3.414285714285714,1.7928571428571427,-8.88,28.68,8400,0
Jalen Williams,UTIL,9600,OKC,38.12,20.28,3.970833333333333,2.1125000000000003,-9.88,57.18,14400,0
Isaiah Hartenstein,UTIL,8000,OKC,25.87,14.78,3.23375,1.8475,-14.13,38.8,12000,0
Aaron Gordon,UTIL,8200,DEN,24.88,13.39,3.0341463414634147,1.6329268292682928,-16.12,37.32,12300,0
