name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Anthony Davis,PF/C,10000,DAL,55.38,28.34,5.538,2.834,5.38,0
Scotty Pippen,PG,4800,MEM,27.38,14.41,5.704166666666667,3.002083333333333,3.38,0
Zach Edey,C,6200,MEM,34.12,17.28,5.503225806451613,2.7870967741935484,3.12,0
Santi Aldama,PF/C,4700,MEM,26.12,12.99,5.5574468085106385,2.7638297872340423,2.62,0
Desmond Bane,PG/SG,8000,MEM,41.38,22.56,5.1725,2.82,1.38,0
Davion Mitchell,PG,5500,MIA,28.12,13.88,5.112727272727273,2.523636363636364,0.62,0
Tyler Herro,PG,9100,MIA,45.88,23.31,5.0417582417582425,2.5615384615384613,0.38,0
Klay Thompson,SG/SF,5100,DAL,25.88,13.0,5.074509803921568,2.5490196078431375,0.38,0
Naji Marshall,SF/PF,5300,DAL,26.62,13.5,5.022641509433963,2.547169811320755,0.12,0
Ja Morant,PG,8400,MEM,41.88,22.43,4.985714285714286,2.6702380952380955,-0.12,0
Andrew Wiggins,SF/PF,7600,MIA,36.38,18.42,4.786842105263158,2.423684210526316,-1.62,0
Bam Adebayo,PF/C,9200,MIA,44.12,22.43,4.795652173913043,2.4380434782608695,-1.88,0
Dereck Lively,C,4500,DAL,20.38,9.54,4.528888888888889,2.12,-2.12,0
Jaren Jackson,PF/C,7700,MEM,36.38,19.57,4.724675324675325,2.5415584415584416,-2.12,0
Kyle Anderson,PF,3800,MIA,15.63,8.29,4.113157894736842,2.1815789473684206,-3.37,0
Alec Burks,PG/SG,3600,MIA,13.62,6.2,3.783333333333333,1.7222222222222223,-4.38,0
Brandon Williams,PG,4000,DAL,15.38,7.94,3.845,1.9850000000000003,-4.62,0
Dante Exum,PG/SG,3900,DAL,14.88,6.94,3.8153846153846156,1.7794871794871796,-4.62,0
Luke Kennard,SG/SF,3400,MEM,12.12,5.95,3.564705882352941,1.75,-4.88,0
PJ Washington,SF/PF,7000,DAL,30.12,16.66,4.302857142857143,2.3800000000000003,-4.88,0
Haywood Highsmith,SF/PF,3500,MIA,12.12,6.01,3.4628571428571426,1.717142857142857,-5.38,0
Duncan Robinson,SG/SF,4000,MIA,13.38,6.44,3.345,1.61,-6.62,0
Kel'el Ware,C,5700,MIA,20.88,11.81,3.663157894736842,2.0719298245614035,-7.62,0
Daniel Gafford,C,5900,DAL,21.88,11.12,3.7084745762711866,1.8847457627118642,-7.62,0
John Konchar,SG/SF,3300,MEM,8.62,4.5,2.612121212121212,1.3636363636363638,-7.88,0
Caleb Martin,PF,3400,DAL,8.88,3.93,2.6117647058823534,1.1558823529411766,-8.12,0
Max Christie,SG/SF,4100,DAL,10.88,4.81,2.653658536585366,1.173170731707317,-9.62,0
Vince Williams,SG/SF,3000,MEM,7.29,0.0,2.4299999999999997,0.0,-15.0,1
Dominick Barlow,PF/C,3200,ATL,6.84,0.0,2.1375,0.0,-16.0,1
Terance Mann,PG/SF,3200,ATL,10.62,0.0,3.3187499999999996,0.0,-16.0,1
Vit Krejci,SG/SF,3200,ATL,3.33,0.0,1.0406250000000001,0.0,-16.0,1
Georges Niang,PF,3600,ATL,14.85,0.0,4.125,0.0,-18.0,1
Mouhamed Gueye,PF/C,4000,ATL,15.2,0.0,3.8,0.0,-20.0,1
Zaccharie Risacher,SF/PF,4100,ATL,19.0,0.0,4.634146341463414,0.0,-20.5,1
Caris LeVert,SG/SF,4600,ATL,24.509999999999998,0.0,5.328260869565217,0.0,-23.0,1
Dyson Daniels,PG/SG,6900,ATL,36.195,0.0,5.245652173913044,0.0,-34.5,1
Onyeka Okongwu,C,7100,ATL,34.199999999999996,0.0,4.816901408450704,0.0,-35.5,1
Trae Young,PG,8800,ATL,48.165,0.0,5.473295454545455,0.0,-44.0,1
