name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Pat Spencer,UTIL,1200,GS,14.12,6.62,11.766666666666666,5.5166666666666675,8.12,21.18,1800,0
Quinten Post,UTIL,2000,GS,15.88,7.83,7.940000000000001,3.915,5.88,23.82,3000,0
Moses Moody,UTIL,2400,GS,11.88,5.71,4.95,2.3791666666666664,-0.12,17.82,3600,0
Jonathan Kuminga,UTIL,2800,GS,13.62,6.88,4.864285714285714,2.457142857142857,-0.38,20.43,4200,0
Kevon Looney,UTIL,2600,GS,10.87,5.71,4.18076923076923,2.196153846153846,-2.13,16.3,3900,0
Gary Payton,UTIL,4400,GS,19.62,10.06,4.459090909090909,2.286363636363636,-2.38,29.43,6600,0
Mike Conley,UTIL,4000,MIN,16.62,8.22,4.155,2.055,-3.38,24.93,6000,0
Nickeil Alexander-Walker,UTIL,3200,MIN,11.88,5.89,3.7125,1.8406249999999997,-4.12,17.82,4800,0
Gui Santos,UTIL,1000,GS,1.1,0.0,1.1,0.0,-5.0,0.0,1500,1
Donte DiVincenzo,UTIL,6200,MIN,25.38,13.09,4.0935483870967735,2.1112903225806448,-5.62,38.07,9300,0
Brandin Podziemski,UTIL,7000,GS,28.38,14.86,4.054285714285714,2.1228571428571428,-6.62,42.57,10500,0
Naz Reid,UTIL,6600,MIN,24.38,13.46,3.693939393939394,2.0393939393939395,-8.62,36.57,9900,0
Jimmy Butler,UTIL,11200,GS,47.12,25.26,4.207142857142857,2.255357142857143,-8.88,70.68,16800,0
Anthony Edwards,UTIL,12000,MIN,50.88,25.79,4.24,2.1491666666666664,-9.12,76.32,18000,0
Jaden McDaniels,UTIL,7200,MIN,26.38,13.52,3.6638888888888888,1.8777777777777778,-9.62,39.57,10800,0
Buddy Hield,UTIL,7600,GS,27.62,14.43,3.6342105263157896,1.8986842105263158,-10.38,41.43,11400,0
Draymond Green,UTIL,8400,GS,31.12,16.04,3.704761904761905,1.9095238095238096,-10.88,46.68,12600,0
Julius Randle,UTIL,9600,MIN,37.12,19.75,3.8666666666666663,2.0572916666666665,-10.88,55.68,14400,0
Rudy Gobert,UTIL,8000,MIN,27.37,14.79,3.42125,1.84875,-12.63,41.06,12000,0
