name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Tyrese Haliburton,PG,8400,IND,46.62,22.29,5.549999999999999,2.6535714285714285,4.62,0
Anthony Edwards,PG/SG,8500,MIN,46.88,25.21,5.515294117647059,2.965882352941177,4.38,0
Franz Wagner,SF,8000,ORL,41.88,21.69,5.235,2.71125,1.88,0
Paolo Banchero,PF,9200,ORL,47.62,26.53,5.176086956521738,2.8836956521739134,1.62,0
Julius Randle,PF/C,7000,MIN,36.12,19.9,5.159999999999999,2.8428571428571425,1.12,0
Donte DiVincenzo,PG/SG,4400,MIN,22.88,11.15,5.2,2.534090909090909,0.88,0
Pascal Siakam,PF,7300,IND,36.38,19.08,4.983561643835617,2.6136986301369864,-0.12,0
Andrew Nembhard,PG/SG,5100,IND,25.38,12.7,4.976470588235294,2.4901960784313726,-0.12,0
Wendell Carter,C,4800,ORL,23.62,12.8,4.920833333333333,2.666666666666667,-0.38,0
TJ McConnell,PG,3700,IND,17.87,8.76,4.82972972972973,2.367567567567568,-0.63,0
Myles Turner,C,6400,IND,31.12,16.25,4.862500000000001,2.5390625,-0.88,0
Naz Reid,PF/C,5200,MIN,24.38,13.47,4.688461538461538,2.5903846153846155,-1.62,0
Mike Conley,PG,3900,MIN,17.62,8.6,4.517948717948719,2.205128205128205,-1.88,0
Jaden McDaniels,SF/PF,5300,MIN,24.38,12.54,4.6,2.3660377358490563,-2.12,0
Kentavious Caldwell-Pope,SG,3800,ORL,16.62,8.73,4.373684210526316,2.2973684210526315,-2.38,0
Nickeil Alexander-Walker,SG/SF,3700,MIN,16.12,8.41,4.356756756756757,2.272972972972973,-2.38,0
Jayson Tatum,SF/PF,9600,BOS,45.62,25.04,4.752083333333333,2.608333333333333,-2.38,0
Obi Toppin,PF/C,3800,IND,16.38,8.05,4.310526315789474,2.118421052631579,-2.62,0
Bennedict Mathurin,SG/SF,4500,IND,19.88,10.17,4.417777777777777,2.26,-2.62,0
Jrue Holiday,PG/SG,5700,BOS,25.12,12.73,4.4070175438596495,2.2333333333333334,-3.38,0
Al Horford,PF/C,4800,BOS,20.62,11.82,4.295833333333333,2.4625,-3.38,0
Payton Pritchard,PG/SG,5600,BOS,24.38,11.95,4.353571428571428,2.133928571428571,-3.62,0
Anthony Black,PG,3800,ORL,15.12,8.27,3.9789473684210526,2.176315789473684,-3.88,0
