name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Thomas Bryant,UTIL,1000,IND,7.87,3.43,7.87,3.43,2.87,11.8,1500,0
Ben Sheppard,UTIL,1600,IND,6.38,2.53,3.9875,1.58125,-1.62,9.57,2400,0
Obi Toppin,UTIL,3600,IND,16.38,7.36,4.549999999999999,2.0444444444444447,-1.62,24.57,5400,0
Cameron Payne,UTIL,1000,NY,3.12,1.59,3.12,1.59,-1.88,4.68,1500,0
Bennedict Mathurin,UTIL,4000,IND,16.62,8.48,4.155,2.12,-3.38,24.93,6000,0
Miles McBride,UTIL,3200,NY,12.38,6.03,3.8687500000000004,1.884375,-3.62,18.57,4800,0
Precious Achiuwa,UTIL,1000,NY,0.9,0.0,0.9,0.0,-5.0,0.0,1500,1
Jarace Walker,UTIL,1000,IND,0.9,0.0,0.9,0.0,-5.0,0.0,1500,1
TJ McConnell,UTIL,4400,IND,16.87,7.76,3.8340909090909094,1.7636363636363634,-5.13,25.3,6600,0
Josh Hart,UTIL,8800,NY,38.38,19.59,4.361363636363636,2.2261363636363636,-5.62,57.57,13200,0
Karl-Anthony Towns,UTIL,9800,NY,43.38,22.75,4.426530612244899,2.3214285714285716,-5.62,65.07,14700,0
Aaron Nesmith,UTIL,6000,IND,24.38,11.97,4.063333333333333,1.9950000000000003,-5.62,36.57,9000,0
Andrew Nembhard,UTIL,7000,IND,28.88,14.38,4.1257142857142854,2.0542857142857143,-6.12,43.32,10500,0
Myles Turner,UTIL,8000,IND,32.62,16.56,4.0775,2.07,-7.38,48.93,12000,0
Jalen Brunson,UTIL,11000,NY,47.38,25.05,4.307272727272728,2.2772727272727273,-7.62,71.07,16500,0
OG Anunoby,UTIL,7600,NY,30.38,15.69,3.9973684210526312,2.064473684210526,-7.62,45.57,11400,0
Mitchell Robinson,UTIL,4800,NY,15.37,8.61,3.2020833333333334,1.79375,-8.63,23.06,7200,0
Mikal Bridges,UTIL,8200,NY,32.12,16.14,3.917073170731707,1.9682926829268292,-8.88,48.18,12300,0
Pascal Siakam,UTIL,8600,IND,33.12,17.87,3.851162790697674,2.077906976744186,-9.88,49.68,12900,0
Tyrese Haliburton,UTIL,10600,IND,42.12,22.57,3.973584905660377,2.129245283018868,-10.88,63.18,15900,0
