name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Thomas Bryant,UTIL,1400,IND,10.88,4.92,7.771428571428572,3.5142857142857142,3.88,16.32,2100,0
Obi Toppin,UTIL,3400,IND,17.88,8.61,5.258823529411765,2.5323529411764705,0.88,26.82,5100,0
TJ McConnell,UTIL,4200,IND,18.37,8.79,4.373809523809523,2.092857142857143,-2.63,27.56,6300,0
Tyrese Haliburton,UTIL,10200,IND,46.62,22.87,4.570588235294117,2.242156862745098,-4.38,69.93,15300,0
Aaron Nesmith,UTIL,5600,IND,23.12,12.64,4.128571428571428,2.257142857142857,-4.88,34.68,8400,0
Jericho Sims,UTIL,1000,MIL,7.0,0.0,7.0,0.0,-5.0,0.0,1500,1
Ben Sheppard,UTIL,1000,IND,9.7,0.0,9.7,0.0,-5.0,0.0,1500,1
Bennedict Mathurin,UTIL,4600,IND,17.12,8.24,3.721739130434783,1.791304347826087,-5.88,25.68,6900,0
Jarace Walker,UTIL,1200,IND,5.4,0.0,4.500000000000001,0.0,-6.0,0.0,1800,1
Andrew Nembhard,UTIL,6600,IND,25.38,12.54,3.8454545454545452,1.8999999999999997,-7.62,38.07,9900,0
Pascal Siakam,UTIL,9000,IND,36.12,19.83,4.013333333333333,2.203333333333333,-8.88,54.18,13500,0
Taurean Prince,UTIL,2000,MIL,4.2,0.0,2.1,0.0,-10.0,0.0,3000,1
Myles Turner,UTIL,7800,IND,28.38,15.62,3.6384615384615384,2.002564102564102,-10.62,42.57,11700,0
AJ Green,UTIL,3800,MIL,11.4,0.0,3.0,0.0,-19.0,0.0,5700,1
Kevin Porter,UTIL,4400,MIL,17.2,0.0,3.9090909090909087,0.0,-22.0,0.0,6600,1
Brook Lopez,UTIL,5000,MIL,15.0,0.0,3.0,0.0,-25.0,0.0,7500,1
Kyle Kuzma,UTIL,5200,MIL,16.2,0.0,3.1153846153846154,0.0,-26.0,0.0,7800,1
Gary Trent,UTIL,5400,MIL,21.7,0.0,4.018518518518518,0.0,-27.0,0.0,8100,1
Bobby Portis,UTIL,7600,MIL,31.5,0.0,4.144736842105264,0.0,-38.0,0.0,11400,1
Damian Lillard,UTIL,10000,MIL,36.9,0.0,3.6899999999999995,0.0,-50.0,0.0,15000,1
Giannis Antetokounmpo,UTIL,13600,MIL,63.4,0.0,4.661764705882353,0.0,-68.0,0.0,20400,1
