name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Peyton Watson,UTIL,1600,DEN,15.88,8.33,9.924999999999999,5.20625,7.88,23.82,2400,0
Julian Strawther,UTIL,1000,DEN,11.38,5.52,11.38,5.52,6.38,17.07,1500,0
Jaylin Williams,UTIL,1000,OKC,10.12,4.61,10.12,4.61,5.12,15.18,1500,0
Cason Wallace,UTIL,2000,OKC,15.12,7.12,7.56,3.56,5.12,22.68,3000,0
Aaron Wiggins,UTIL,1200,OKC,10.38,5.09,8.650000000000002,4.241666666666666,4.38,15.57,1800,0
Nikola Jokic,UTIL,13800,DEN,65.38,34.95,4.737681159420289,2.5326086956521743,-3.62,98.07,20700,0
Alex Caruso,UTIL,4800,OKC,20.12,10.8,4.191666666666666,2.2500000000000004,-3.88,30.18,7200,0
Luguentz Dort,UTIL,4200,OKC,16.62,8.71,3.957142857142857,2.073809523809524,-4.38,24.93,6300,0
Isaiah Joe,UTIL,1000,OKC,3.8,0.0,3.8,0.0,-5.0,0.0,1500,1
Russell Westbrook,UTIL,5600,DEN,22.88,12.17,4.085714285714285,2.1732142857142858,-5.12,34.32,8400,0
Christian Braun,UTIL,7000,DEN,28.12,14.91,4.017142857142857,2.13,-6.88,42.18,10500,0
Jamal Murray,UTIL,9200,DEN,38.62,21.23,4.197826086956522,2.3076086956521737,-7.38,57.93,13800,0
Shai Gilgeous-Alexander,UTIL,12200,OKC,52.88,28.88,4.334426229508197,2.3672131147540982,-8.12,79.32,18300,0
Michael Porter,UTIL,5800,DEN,20.88,11.66,3.6,2.010344827586207,-8.12,31.32,8700,0
Chet Holmgren,UTIL,8800,OKC,35.38,18.41,4.0204545454545455,2.0920454545454543,-8.62,53.07,13200,0
Jalen Williams,UTIL,9600,OKC,38.12,20.29,3.970833333333333,2.113541666666667,-9.88,57.18,14400,0
Isaiah Hartenstein,UTIL,8000,OKC,28.87,15.01,3.60875,1.87625,-11.13,43.3,12000,0
Aaron Gordon,UTIL,8200,DEN,25.88,12.47,3.15609756097561,1.5207317073170732,-15.12,38.82,12300,0
