name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Mike Conley,UTIL,2800,MIN,17.62,8.01,6.292857142857144,2.8607142857142853,3.62,26.43,4200,0
Terrence Shannon,UTIL,1000,MIN,8.38,3.64,8.38,3.64,3.38,12.57,1500,0
Nickeil Alexander-Walker,UTIL,3400,MIN,19.12,10.29,5.623529411764706,3.0264705882352936,2.12,28.68,5100,0
Kenrich Williams,UTIL,1200,OKC,6.38,3.46,5.316666666666666,2.8833333333333333,0.38,9.57,1800,0
Cason Wallace,UTIL,4200,OKC,18.88,9.23,4.495238095238094,2.197619047619048,-2.12,28.32,6300,0
Alex Caruso,UTIL,4800,OKC,21.38,10.59,4.454166666666667,2.20625,-2.62,32.07,7200,0
Isaiah Joe,UTIL,2400,OKC,8.38,3.74,3.4916666666666667,1.5583333333333333,-3.62,12.57,3600,0
Donte DiVincenzo,UTIL,5000,MIN,20.88,10.34,4.176,2.068,-4.12,31.32,7500,0
Aaron Wiggins,UTIL,1000,OKC,3.9,0.0,3.9,0.0,-5.0,0.0,1500,1
Shai Gilgeous-Alexander,UTIL,12400,OKC,56.38,28.87,4.546774193548387,2.3282258064516133,-5.62,84.57,18600,0
Luguentz Dort,UTIL,4600,OKC,17.38,8.36,3.778260869565217,1.817391304347826,-5.62,26.07,6900,0
Jalen Williams,UTIL,9800,OKC,42.38,21.77,4.3244897959183675,2.221428571428571,-6.62,63.57,14700,0
Anthony Edwards,UTIL,11400,MIN,49.88,25.5,4.375438596491229,2.2368421052631575,-7.12,74.82,17100,0
Rudy Gobert,UTIL,6400,MIN,22.87,11.31,3.5734375000000003,1.7671875000000001,-9.13,34.3,9600,0
Jaden McDaniels,UTIL,7200,MIN,26.38,13.15,3.6638888888888888,1.8263888888888888,-9.62,39.57,10800,0
Chet Holmgren,UTIL,8600,OKC,31.88,17.94,3.7069767441860466,2.0860465116279068,-11.12,47.82,12900,0
Naz Reid,UTIL,7000,MIN,21.38,11.69,3.0542857142857143,1.67,-13.62,32.07,10500,0
Julius Randle,UTIL,9600,MIN,34.12,17.01,3.5541666666666663,1.7718750000000003,-13.88,51.18,14400,0
Isaiah Hartenstein,UTIL,6800,OKC,18.87,10.07,2.775,1.4808823529411765,-15.13,28.3,10200,0
