name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Jordan Walsh,SG/SF,3000,BOS,6.12,0.0,2.04,0.0,-15.0,1
Tristan Thompson,C,3000,CLE,13.77,0.0,4.59,0.0,-15.0,1
Jaylon Tyson,SG/SF,3000,CLE,13.05,0.0,4.3500000000000005,0.0,-15.0,1
Emoni Bates,PG,3000,CLE,4.59,0.0,1.5299999999999998,0.0,-15.0,1
Johnny Furphy,SG/SF,3000,IND,11.79,0.0,3.9299999999999993,0.0,-15.0,1
Enrique Freeman,PF/C,3000,IND,10.53,0.0,3.51,0.0,-15.0,1
Quenton Jackson,PG/SG,3000,IND,17.64,0.0,5.88,0.0,-15.0,1
RayJ Dennis,PG,3000,IND,12.51,0.0,4.17,0.0,-15.0,1
Tony Bradley,C,3000,IND,14.4,0.0,4.800000000000001,0.0,-15.0,1
Simone Fontecchio,PF,3000,DET,5.76,0.0,1.92,0.0,-15.0,1
Julian Phillips,SF/PF,3000,CHI,12.69,0.0,4.23,0.0,-15.0,1
Jevon Carter,PG,3000,CHI,16.56,0.0,5.52,0.0,-15.0,1
Jett Howard,SG/SF,3000,ORL,20.25,0.0,6.75,0.0,-15.0,1
Trevelin Queen,PG,3000,ORL,13.95,0.0,4.6499999999999995,0.0,-15.0,1
Gary Harris,SG/SF,3000,ORL,6.48,0.0,2.16,0.0,-15.0,1
Tristan da,SF/PF,3000,ORL,21.24,0.0,7.079999999999999,0.0,-15.0,1
Isaac Okoro,SG/SF,3100,CLE,17.28,0.0,5.574193548387097,0.0,-15.5,1
Craig Porter,PG,3100,CLE,20.34,0.0,6.561290322580645,0.0,-15.5,1
AJ Green,PG/SG,3100,MIL,10.98,0.0,3.541935483870968,0.0,-15.5,1
Vit Krejci,SG/SF,3200,ATL,13.68,0.0,4.275,0.0,-16.0,1
Ronald Holland,SF,3200,DET,11.97,0.0,3.740625,0.0,-16.0,1
JT Thor,SF/PF,3200,WAS,11.25,0.0,3.515625,0.0,-16.0,1
Dean Wade,PF,3200,CLE,17.55,0.0,5.484375000000001,0.0,-16.0,1
Javonte Green,SF/PF,3300,CLE,16.29,0.0,4.9363636363636365,0.0,-16.5,1
Thomas Bryant,C,3300,IND,21.87,0.0,6.627272727272727,0.0,-16.5,1
Jarace Walker,SF/PF,3300,IND,23.85,0.0,7.227272727272728,0.0,-16.5,1
