name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Jaylin Williams,UTIL,1000,OKC,8.62,3.75,8.62,3.75,3.62,12.93,1500,0
Aaron Wiggins,UTIL,1600,OKC,10.38,5.32,6.4875,3.325,2.38,15.57,2400,0
Nikola Jokic,UTIL,13000,DEN,65.88,33.45,5.067692307692308,2.5730769230769233,0.88,98.82,19500,0
Michael Porter,UTIL,4400,DEN,21.88,11.01,4.972727272727273,2.502272727272727,-0.12,32.82,6600,0
Peyton Watson,UTIL,2000,DEN,9.87,5.0,4.935,2.5,-0.13,14.8,3000,0
Russell Westbrook,UTIL,6200,DEN,29.62,14.73,4.7774193548387105,2.3758064516129034,-1.38,44.43,9300,0
Isaiah Joe,UTIL,2400,OKC,9.88,4.57,4.116666666666667,1.9041666666666668,-2.12,14.82,3600,0
Shai Gilgeous-Alexander,UTIL,11800,OKC,55.38,28.24,4.693220338983052,2.3932203389830504,-3.62,83.07,17700,0
Cason Wallace,UTIL,3000,OKC,10.88,6.24,3.626666666666667,2.08,-4.12,16.32,4500,0
Luguentz Dort,UTIL,4800,OKC,18.88,9.77,3.933333333333333,2.035416666666667,-5.12,28.32,7200,0
Jamal Murray,UTIL,8800,DEN,37.62,20.2,4.2749999999999995,2.2954545454545454,-6.38,56.43,13200,0
Jalen Williams,UTIL,9600,OKC,41.38,21.34,4.310416666666668,2.2229166666666664,-6.62,62.07,14400,0
Christian Braun,UTIL,6600,DEN,25.88,13.6,3.9212121212121214,2.0606060606060606,-7.12,38.82,9900,0
Alex Caruso,UTIL,5400,OKC,19.12,10.76,3.540740740740741,1.9925925925925927,-7.88,28.68,8100,0
Aaron Gordon,UTIL,7800,DEN,31.12,16.22,3.9897435897435893,2.0794871794871796,-7.88,46.68,11700,0
Chet Holmgren,UTIL,9000,OKC,35.12,18.05,3.902222222222222,2.0055555555555555,-9.88,52.68,13500,0
Isaiah Hartenstein,UTIL,8000,OKC,28.37,15.23,3.54625,1.90375,-11.63,42.56,12000,0
