name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Peyton Watson,UTIL,1600,DEN,10.62,5.5,6.637499999999999,3.4375,2.62,15.93,2400,0
Aaron Wiggins,UTIL,2400,OKC,11.62,5.68,4.841666666666666,2.3666666666666667,-0.38,17.43,3600,0
Cason Wallace,UTIL,3000,OKC,14.12,6.68,4.706666666666666,2.2266666666666666,-0.88,21.18,4500,0
Jaylin Williams,UTIL,2000,OKC,8.62,3.92,4.31,1.96,-1.38,12.93,3000,0
Nikola Jokic,UTIL,13800,DEN,65.62,33.81,4.755072463768116,2.45,-3.38,98.43,20700,0
Russell Westbrook,UTIL,5400,DEN,22.88,11.83,4.2370370370370365,2.190740740740741,-4.12,34.32,8100,0
Julian Strawther,UTIL,1000,DEN,3.1,0.0,3.1,0.0,-5.0,0.0,1500,1
Isaiah Joe,UTIL,1000,OKC,4.1,0.0,4.1,0.0,-5.0,0.0,1500,1
Isaiah Hartenstein,UTIL,7800,OKC,32.63,16.08,4.1833333333333345,2.0615384615384613,-6.37,48.95,11700,0
Luguentz Dort,UTIL,4400,OKC,15.62,8.66,3.55,1.968181818181818,-6.38,23.43,6600,0
Alex Caruso,UTIL,5200,OKC,19.12,10.28,3.676923076923077,1.9769230769230766,-6.88,28.68,7800,0
Christian Braun,UTIL,6600,DEN,25.88,14.13,3.9212121212121214,2.140909090909091,-7.12,38.82,9900,0
Aaron Gordon,UTIL,8000,DEN,32.62,17.56,4.0775,2.195,-7.38,48.93,12000,0
Jalen Williams,UTIL,9200,OKC,37.62,20.5,4.089130434782608,2.2282608695652173,-8.38,56.43,13800,0
Chet Holmgren,UTIL,8800,OKC,35.38,17.95,4.0204545454545455,2.0397727272727275,-8.62,53.07,13200,0
Shai Gilgeous-Alexander,UTIL,12400,OKC,53.38,27.78,4.304838709677419,2.240322580645161,-8.62,80.07,18600,0
Michael Porter,UTIL,6200,DEN,18.88,10.26,3.0451612903225804,1.6548387096774193,-12.12,28.32,9300,0
Jamal Murray,UTIL,9600,DEN,35.38,18.53,3.6854166666666672,1.9302083333333335,-12.62,53.07,14400,0
