name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Donte DiVincenzo,UTIL,4800,MIN,22.88,11.25,4.766666666666667,2.34375,-1.12,34.32,7200,0
Nickeil Alexander-Walker,UTIL,4000,MIN,17.12,8.2,4.28,2.05,-2.88,25.68,6000,0
Mike Conley,UTIL,4400,MIN,17.62,8.94,4.004545454545455,2.0318181818181813,-4.38,26.43,6600,0
Jordan Goodwin,UTIL,1000,LAL,5.2,0.0,5.2,0.0,-5.0,0.0,1500,1
Anthony Edwards,UTIL,10800,MIN,47.38,24.26,4.387037037037038,2.2462962962962965,-6.62,71.07,16200,0
Julius Randle,UTIL,8600,MIN,34.12,18.54,3.967441860465116,2.155813953488372,-8.88,51.18,12900,0
Jaden McDaniels,UTIL,6800,MIN,23.38,12.64,3.438235294117647,1.8588235294117648,-10.62,35.07,10200,0
Naz Reid,UTIL,7400,MIN,24.38,12.93,3.2945945945945945,1.7472972972972973,-12.62,36.57,11100,0
Rudy Gobert,UTIL,8400,MIN,28.87,14.89,3.436904761904762,1.7726190476190475,-13.13,43.3,12600,0
Gabe Vincent,UTIL,3000,LAL,9.8,0.0,3.266666666666667,0.0,-15.0,0.0,4500,1
Jarred Vanderbilt,UTIL,3200,LAL,12.2,0.0,3.8125,0.0,-16.0,0.0,4800,1
Jaxson Hayes,UTIL,3600,LAL,9.2,0.0,2.5555555555555554,0.0,-18.0,0.0,5400,1
Dorian Finney-Smith,UTIL,4200,LAL,16.8,0.0,4.0,0.0,-21.0,0.0,6300,1
Rui Hachimura,UTIL,6400,LAL,22.7,0.0,3.5468749999999996,0.0,-32.0,0.0,9600,1
Austin Reaves,UTIL,8800,LAL,33.8,0.0,3.8409090909090904,0.0,-44.0,0.0,13200,1
LeBron James,UTIL,11400,LAL,44.5,0.0,3.903508771929825,0.0,-57.0,0.0,17100,1
Luka Doncic,UTIL,12800,LAL,56.2,0.0,4.390625,0.0,-64.0,0.0,19200,1
