name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Nikola Jokic,UTIL,13600,DEN,64.62,34.3,4.751470588235295,2.5220588235294117,-3.38,96.93,20400,0
DeAndre Jordan,UTIL,1000,DEN,2.9,0.0,2.9,0.0,-5.0,0.0,1500,1
Peyton Watson,UTIL,2800,DEN,6.63,3.32,2.367857142857143,1.1857142857142855,-7.37,9.94,4200,0
Jamal Murray,UTIL,9600,DEN,40.62,19.82,4.23125,2.064583333333333,-7.38,60.93,14400,0
Christian Braun,UTIL,6600,DEN,25.38,12.17,3.8454545454545452,1.8439393939393938,-7.62,38.07,9900,0
Jalen Pickett,UTIL,1600,DEN,2.4,0.0,1.5,0.0,-8.0,0.0,2400,1
Michael Porter,UTIL,7000,DEN,26.62,14.6,3.802857142857143,2.085714285714286,-8.38,39.93,10500,0
Ben Simmons,UTIL,2000,LAC,5.5,0.0,2.75,0.0,-10.0,0.0,3000,1
Russell Westbrook,UTIL,6000,DEN,18.88,10.36,3.1466666666666665,1.7266666666666666,-11.12,28.32,9000,0
Aaron Gordon,UTIL,8000,DEN,28.88,15.25,3.61,1.90625,-11.12,43.32,12000,0
Derrick Jones,UTIL,2400,LAC,11.5,0.0,4.791666666666666,0.0,-12.0,0.0,3600,1
Bogdan Bogdanovic,UTIL,3000,LAC,14.1,0.0,4.7,0.0,-15.0,0.0,4500,1
Nicolas Batum,UTIL,3200,LAC,13.6,0.0,4.25,0.0,-16.0,0.0,4800,1
Kris Dunn,UTIL,4000,LAC,14.0,0.0,3.5,0.0,-20.0,0.0,6000,1
Norman Powell,UTIL,7600,LAC,28.0,0.0,3.6842105263157894,0.0,-38.0,0.0,11400,1
Ivica Zubac,UTIL,10000,LAC,42.0,0.0,4.2,0.0,-50.0,0.0,15000,1
Kawhi Leonard,UTIL,10400,LAC,45.3,0.0,4.355769230769231,0.0,-52.0,0.0,15600,1
James Harden,UTIL,11000,LAC,47.6,0.0,4.327272727272727,0.0,-55.0,0.0,16500,1
