name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Miles McBride,UTIL,2400,NY,12.38,5.67,5.158333333333333,2.3625,0.38,18.57,3600,0
Luke Kornet,UTIL,4400,BOS,21.87,11.74,4.970454545454546,2.6681818181818184,-0.13,32.8,6600,0
Cameron Payne,UTIL,1000,NY,1.62,0.71,1.62,0.71,-3.38,2.43,1500,0
Jaylen Brown,UTIL,10400,BOS,47.38,24.7,4.555769230769231,2.375,-4.62,71.07,15600,0
Precious Achiuwa,UTIL,1000,NY,0.4,0.0,0.4,0.0,-5.0,0.0,1500,1
Sam Hauser,UTIL,3200,BOS,10.88,5.2,3.4000000000000004,1.6250000000000002,-5.12,16.32,4800,0
Payton Pritchard,UTIL,7200,BOS,30.12,14.89,4.183333333333334,2.0680555555555555,-5.88,45.18,10800,0
Torrey Craig,UTIL,1200,BOS,1.3,0.0,1.0833333333333333,0.0,-6.0,0.0,1800,1
Jalen Brunson,UTIL,10800,NY,47.88,25.29,4.433333333333334,2.3416666666666663,-6.12,71.82,16200,0
Mitchell Robinson,UTIL,4800,NY,17.63,9.09,3.672916666666666,1.89375,-6.37,26.44,7200,0
Al Horford,UTIL,6400,BOS,25.38,12.95,3.9656249999999997,2.0234375,-6.62,38.07,9600,0
Josh Hart,UTIL,8400,NY,34.62,18.81,4.121428571428571,2.239285714285714,-7.38,51.93,12600,0
Jrue Holiday,UTIL,7000,BOS,27.12,14.66,3.874285714285714,2.0942857142857143,-7.88,40.68,10500,0
Karl-Anthony Towns,UTIL,10000,NY,41.38,21.94,4.138,2.1940000000000004,-8.62,62.07,15000,0
Derrick White,UTIL,9800,BOS,39.88,21.27,4.069387755102041,2.1704081632653063,-9.12,59.82,14700,0
Mikal Bridges,UTIL,8200,NY,30.12,15.69,3.6731707317073172,1.9134146341463414,-10.88,45.18,12300,0
Kristaps Porzingis,UTIL,5000,BOS,13.88,6.58,2.7760000000000002,1.316,-11.12,20.82,7500,0
OG Anunoby,UTIL,8000,NY,27.12,14.95,3.39,1.86875,-12.88,40.68,12000,0
