name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Jalen Duren,C,6100,DET,36.13,17.18,5.922950819672132,2.816393442622951,5.63,0
Cade Cunningham,PG,9100,DET,49.88,26.92,5.481318681318681,2.9582417582417584,4.38,0
Nikola Jokic,C,11500,DEN,60.88,33.52,5.293913043478261,2.9147826086956523,3.38,0
Jalen Brunson,PG,8300,NY,44.88,24.42,5.4072289156626505,2.942168674698795,3.38,0
Josh Hart,SF/PF,6900,NY,36.88,19.68,5.344927536231885,2.8521739130434782,2.38,0
Jamal Murray,PG/SG,7500,DEN,39.62,20.08,5.282666666666667,2.6773333333333333,2.12,0
Ausar Thompson,SF/PF,4500,DET,23.88,12.46,5.306666666666666,2.7688888888888887,1.38,0
Karl-Anthony Towns,C,9300,NY,47.38,24.22,5.094623655913979,2.604301075268817,0.88,0
Christian Braun,SG/SF,5100,DEN,25.12,13.38,4.925490196078432,2.623529411764706,-0.38,0
Mikal Bridges,SG/SF,5700,NY,27.88,14.12,4.891228070175439,2.4771929824561405,-0.62,0
Isaiah Stewart,C,3700,DET,17.88,8.22,4.832432432432432,2.221621621621622,-0.62,0
Tim Hardaway,SG/SF,4200,DET,20.12,9.62,4.79047619047619,2.2904761904761903,-0.88,0
OG Anunoby,SF/PF,6800,NY,32.88,17.05,4.835294117647059,2.5073529411764706,-1.12,0
Aaron Gordon,PF/C,5900,DEN,27.88,15.17,4.725423728813559,2.571186440677966,-1.62,0
Malik Beasley,SG/SF,5300,DET,24.62,12.65,4.645283018867925,2.3867924528301887,-1.88,0
Dennis Schroder,PG/SG,4000,DET,17.88,9.9,4.47,2.475,-2.12,0
Russell Westbrook,PG,5800,DEN,25.62,12.94,4.417241379310345,2.231034482758621,-3.38,0
Tobias Harris,PF,6200,DET,27.62,14.71,4.45483870967742,2.3725806451612903,-3.38,0
Paul Reed,C,3600,DET,13.12,6.66,3.644444444444444,1.85,-4.88,0
Michael Porter,SF,6000,DEN,24.38,12.89,4.063333333333333,2.1483333333333334,-5.62,0
Mitchell Robinson,C,3900,NY,13.87,7.26,3.556410256410256,1.8615384615384616,-5.63,0
Miles McBride,PG/SG,3700,NY,11.88,5.81,3.210810810810811,1.5702702702702702,-6.62,0
Peyton Watson,SF/PF,3500,DEN,10.62,5.32,3.0342857142857143,1.52,-6.88,0
Cameron Payne,PG/SG,3400,NY,9.62,4.92,2.829411764705882,1.4470588235294117,-7.38,0
Landry Shamet,SG/SF,3000,NY,2.52,0.0,0.8400000000000001,0.0,-15.0,1
Jalen Pickett,PG/SG,3000,DEN,3.42,0.0,1.14,0.0,-15.0,1
Ronald Holland,SF,3000,DET,5.67,0.0,1.89,0.0,-15.0,1
Nicolas Batum,PF/C,3100,LAC,11.969999999999999,0.0,3.8612903225806448,0.0,-15.5,1
Derrick Jones,SF/PF,3200,LAC,13.774999999999999,0.0,4.304687499999999,0.0,-16.0,1
Bogdan Bogdanovic,SG/SF,3300,LAC,11.305,0.0,3.4257575757575753,0.0,-16.5,1
Ben Simmons,C,3500,LAC,7.505,0.0,2.1442857142857146,0.0,-17.5,1
Kris Dunn,PG/SG,3800,LAC,15.389999999999999,0.0,4.05,0.0,-19.0,1
Norman Powell,SG/SF,5500,LAC,22.514999999999997,0.0,4.093636363636363,0.0,-27.5,1
Ivica Zubac,C,7700,LAC,40.565,0.0,5.268181818181818,0.0,-38.5,1
Kawhi Leonard,PF,8500,LAC,42.18,0.0,4.962352941176471,0.0,-42.5,1
James Harden,PG,9500,LAC,49.684999999999995,0.0,5.2299999999999995,0.0,-47.5,1
