name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Donovan Mitchell,PG/SG,8600,CLE,49.62,24.8,5.769767441860465,2.8837209302325584,6.62,0
Evan Mobley,PF/C,7700,CLE,44.12,21.91,5.729870129870129,2.8454545454545457,5.62,0
Jimmy Butler,PF,8400,GS,45.62,23.44,5.430952380952381,2.7904761904761903,3.62,0
Ty Jerome,PG,5000,CLE,28.12,14.75,5.6240000000000006,2.9499999999999997,3.12,0
Max Strus,SG/SF,4400,CLE,24.62,13.19,5.595454545454546,2.9977272727272726,2.62,0
De'Andre Hunter,SF/PF,4300,CLE,24.12,12.24,5.609302325581395,2.8465116279069766,2.62,0
Jarrett Allen,C,6500,CLE,34.37,17.26,5.287692307692308,2.6553846153846155,1.87,0
Stephen Curry,PG,9400,GS,47.88,24.62,5.093617021276596,2.619148936170213,0.88,0
Draymond Green,PF/C,6000,GS,30.12,15.08,5.0200000000000005,2.513333333333333,0.12,0
Andrew Nembhard,PG/SG,5500,IND,27.38,13.41,4.9781818181818185,2.438181818181818,-0.12,0
Tyrese Haliburton,PG,8800,IND,43.62,22.84,4.956818181818181,2.5954545454545452,-0.38,0
Pascal Siakam,PF,7200,IND,35.38,17.92,4.91388888888889,2.488888888888889,-0.62,0
Moses Moody,SG/SF,3600,GS,16.62,8.47,4.616666666666667,2.352777777777778,-1.38,0
Myles Turner,C,6200,IND,29.62,15.63,4.7774193548387105,2.520967741935484,-1.38,0
Obi Toppin,PF/C,3400,IND,15.38,7.27,4.523529411764706,2.138235294117647,-1.62,0
Gary Payton,SG/SF,3300,GS,14.38,7.27,4.357575757575758,2.203030303030303,-2.12,0
Bennedict Mathurin,SG/SF,3700,IND,16.12,8.03,4.356756756756757,2.17027027027027,-2.38,0
Sam Merrill,SG,3500,CLE,15.12,7.82,4.32,2.2342857142857144,-2.38,0
Quinten Post,C,3500,GS,14.88,7.44,4.251428571428572,2.125714285714286,-2.62,0
TJ McConnell,PG,4100,IND,17.87,9.09,4.3585365853658535,2.2170731707317075,-2.63,0
Darius Garland,PG,7000,CLE,32.12,17.27,4.588571428571428,2.467142857142857,-2.88,0
Aaron Nesmith,SG/SF,5200,IND,23.12,12.32,4.446153846153846,2.3692307692307693,-2.88,0
Brandin Podziemski,PG/SG,5700,GS,25.38,12.75,4.4526315789473685,2.2368421052631575,-3.12,0
Buddy Hield,SG/SF,4000,GS,15.88,7.36,3.9700000000000006,1.84,-4.12,0
Dean Wade,PF,3400,CLE,10.88,5.5,3.2,1.6176470588235294,-6.12,0
Jarace Walker,SF/PF,3200,IND,8.62,4.15,2.69375,1.296875,-7.38,0
Jonathan Kuminga,PF,3000,GS,2.8,0.0,0.9333333333333333,0.0,-15.0,1
Thomas Bryant,C,3000,IND,5.4,0.0,1.8000000000000003,0.0,-15.0,1
Kevon Looney,C,3000,GS,5.8,0.0,1.9333333333333333,0.0,-15.0,1
Ben Sheppard,PG/SG,3100,IND,4.2,0.0,1.3548387096774195,0.0,-15.5,1
Isaac Okoro,SG/SF,3100,CLE,8.1,0.0,2.6129032258064515,0.0,-15.5,1
Javonte Green,SF/PF,3300,CLE,3.3,0.0,1.0,0.0,-16.5,1
Steven Adams,C,3800,HOU,18.8,0.0,4.947368421052632,0.0,-19.0,1
Jabari Smith,PF/C,3900,HOU,15.2,0.0,3.8974358974358974,0.0,-19.5,1
Tari Eason,SF/PF,4200,HOU,16.2,0.0,3.857142857142857,0.0,-21.0,1
Dillon Brooks,PF,4500,HOU,21.7,0.0,4.822222222222222,0.0,-22.5,1
Jalen Green,SG,6400,HOU,29.0,0.0,4.53125,0.0,-32.0,1
Amen Thompson,PG/SF,6600,HOU,37.3,0.0,5.651515151515151,0.0,-33.0,1
Fred VanVleet,PG,6700,HOU,31.5,0.0,4.701492537313433,0.0,-33.5,1
Alperen Sengun,C,9200,HOU,49.3,0.0,5.358695652173913,0.0,-46.0,1
