name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Gary Payton,UTIL,2400,GS,13.12,6.62,5.466666666666667,2.7583333333333337,1.12,19.68,3600,0
Kevon Looney,UTIL,2000,GS,10.87,5.66,5.435,2.83,0.87,16.3,3000,0
Buddy Hield,UTIL,5400,GS,26.38,13.59,4.885185185185185,2.5166666666666666,-0.62,39.57,8100,0
Mike Conley,UTIL,4000,MIN,17.62,8.23,4.405,2.0575,-2.38,26.43,6000,0
Nickeil Alexander-Walker,UTIL,3000,MIN,11.88,5.89,3.96,1.9633333333333334,-3.12,17.82,4500,0
Naz Reid,UTIL,5200,MIN,22.12,12.1,4.253846153846154,2.3269230769230766,-3.88,33.18,7800,0
Jimmy Butler,UTIL,10600,GS,49.12,27.27,4.633962264150943,2.572641509433962,-3.88,73.68,15900,0
Trayce Jackson-Davis,UTIL,3200,GS,11.63,6.03,3.6343750000000004,1.884375,-4.37,17.44,4800,0
Moses Moody,UTIL,1000,GS,6.0,0.0,6.0,0.0,-5.0,0.0,1500,1
Jonathan Kuminga,UTIL,6600,GS,27.62,15.35,4.184848484848485,2.3257575757575757,-5.38,41.43,9900,0
Brandin Podziemski,UTIL,7000,GS,29.62,14.54,4.231428571428571,2.077142857142857,-5.38,44.43,10500,0
Donte DiVincenzo,UTIL,5000,MIN,18.62,10.21,3.724,2.042,-6.38,27.93,7500,0
Julius Randle,UTIL,9600,MIN,39.62,21.63,4.127083333333333,2.253125,-8.38,59.43,14400,0
Draymond Green,UTIL,7400,GS,28.38,14.62,3.835135135135135,1.9756756756756757,-8.62,42.57,11100,0
Jaden McDaniels,UTIL,7600,MIN,28.38,13.69,3.7342105263157896,1.801315789473684,-9.62,42.57,11400,0
Anthony Edwards,UTIL,11600,MIN,48.12,25.58,4.1482758620689655,2.205172413793103,-9.88,72.18,17400,0
Rudy Gobert,UTIL,7800,MIN,26.37,12.71,3.380769230769231,1.6294871794871797,-12.63,39.56,11700,0
