name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Ben Sheppard,UTIL,1000,IND,7.38,3.2,7.38,3.2,2.38,11.07,1500,0
Mitchell Robinson,UTIL,4200,NY,23.13,11.37,5.507142857142857,2.707142857142857,2.13,34.7,6300,0
Cameron Payne,UTIL,1000,NY,6.12,2.4,6.12,2.4,1.12,9.18,1500,0
Obi Toppin,UTIL,3600,IND,16.38,8.11,4.549999999999999,2.2527777777777778,-1.62,24.57,5400,0
TJ McConnell,UTIL,4000,IND,16.88,8.73,4.22,2.1825,-3.12,25.32,6000,0
Miles McBride,UTIL,3400,NY,13.38,6.92,3.9352941176470595,2.0352941176470587,-3.62,20.07,5100,0
Thomas Bryant,UTIL,1000,IND,4.2,0.0,4.2,0.0,-5.0,0.0,1500,1
Pascal Siakam,UTIL,8400,IND,36.62,18.37,4.359523809523809,2.1869047619047617,-5.38,54.93,12600,0
Jalen Brunson,UTIL,11200,NY,50.38,25.41,4.498214285714286,2.26875,-5.62,75.57,16800,0
Tyrese Haliburton,UTIL,10600,IND,45.62,23.32,4.3037735849056595,2.2,-7.38,68.43,15900,0
Andrew Nembhard,UTIL,7200,IND,27.38,13.78,3.8027777777777776,1.9138888888888888,-8.62,41.07,10800,0
Mikal Bridges,UTIL,8200,NY,32.12,17.16,3.917073170731707,2.0926829268292684,-8.88,48.18,12300,0
Myles Turner,UTIL,7600,IND,28.38,15.43,3.7342105263157896,2.030263157894737,-9.62,42.57,11400,0
OG Anunoby,UTIL,8000,NY,30.38,15.15,3.7975,1.89375,-9.62,45.57,12000,0
Karl-Anthony Towns,UTIL,10200,NY,41.12,20.49,4.031372549019608,2.0088235294117647,-9.88,61.68,15300,0
Bennedict Mathurin,UTIL,4600,IND,12.62,6.18,2.743478260869565,1.3434782608695652,-10.38,18.93,6900,0
Aaron Nesmith,UTIL,6800,IND,23.62,12.64,3.473529411764706,1.8588235294117648,-10.38,35.43,10200,0
Josh Hart,UTIL,8600,NY,26.88,14.65,3.125581395348837,1.7034883720930232,-16.12,40.32,12900,0
