name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Jalen Smith,C,3000,CHI,30.62,16.82,10.206666666666667,5.606666666666667,15.62,0
Jevon Carter,PG,3000,CHI,25.62,14.08,8.540000000000001,4.693333333333333,10.62,0
Zach Collins,C,3200,CHI,23.62,12.58,7.3812500000000005,3.93125,7.62,0
Dalen Terry,SG/SF,3500,CHI,24.12,12.11,6.8914285714285715,3.46,6.62,0
Talen Horton-Tucker,PG/SG,3800,CHI,25.38,13.45,6.678947368421053,3.539473684210526,6.38,0
Darius Garland,PG,7800,CLE,45.38,22.95,5.817948717948719,2.9423076923076925,6.38,0
Max Strus,SG/SF,4000,CLE,24.62,12.47,6.155,3.1175,4.62,0
Ty Jerome,PG,4500,CLE,26.88,14.23,5.973333333333333,3.1622222222222227,4.38,0
De'Andre Hunter,SF/PF,4300,CLE,25.62,12.27,5.958139534883721,2.853488372093023,4.12,0
Paolo Banchero,PF,9800,ORL,53.12,27.22,5.420408163265305,2.777551020408163,4.12,0
Patrick Williams,PF,3700,CHI,22.38,12.2,6.048648648648648,3.2972972972972974,3.88,0
Rudy Gobert,C,6600,MIN,36.87,18.05,5.586363636363636,2.734848484848485,3.87,0
Zach Edey,C,5400,MEM,30.12,15.78,5.5777777777777775,2.922222222222222,3.12,0
Aaron Nesmith,SG/SF,4600,IND,25.62,12.16,5.569565217391305,2.6434782608695655,2.62,0
Mike Conley,PG,3800,MIN,21.12,10.4,5.557894736842106,2.736842105263158,2.12,0
Isaac Okoro,SG/SF,3000,CLE,16.62,8.8,5.540000000000001,2.9333333333333336,1.62,0
Myles Turner,C,6100,IND,32.12,17.18,5.2655737704918035,2.816393442622951,1.62,0
Franz Wagner,SF,8800,ORL,45.62,23.78,5.184090909090909,2.702272727272727,1.62,0
Maxwell Lewis,SF,3500,BKN,18.88,10.36,5.394285714285714,2.96,1.38,0
Dariq Whitehead,SG,3600,BKN,19.38,10.06,5.383333333333333,2.7944444444444443,1.38,0
Nickeil Alexander-Walker,SG/SF,3600,MIN,19.38,9.4,5.383333333333333,2.611111111111111,1.38,0
Ziaire Williams,SF,4600,BKN,24.12,11.37,5.243478260869566,2.4717391304347824,1.12,0
TJ McConnell,PG,3800,IND,20.12,10.18,5.294736842105263,2.6789473684210523,1.12,0
Mikal Bridges,SG/SF,5600,NY,28.88,14.93,5.157142857142857,2.6660714285714286,0.88,0
Sam Merrill,SG,3300,CLE,17.12,9.04,5.187878787878788,2.7393939393939393,0.62,0
Dean Wade,PF,3000,CLE,14.88,6.81,4.96,2.27,-0.12,0
Julian Phillips,SF/PF,3000,CHI,14.88,7.66,4.96,2.5533333333333332,-0.12,0
Andrew Nembhard,PG/SG,5000,IND,24.88,12.46,4.975999999999999,2.4920000000000004,-0.12,0
Matas Buzelis,PF,5800,CHI,28.88,14.09,4.979310344827587,2.429310344827586,-0.12,0
Cory Joseph,PG,3100,ORL,15.12,7.66,4.877419354838709,2.470967741935484,-0.38,0
Evan Mobley,PF/C,8900,CLE,44.12,22.28,4.957303370786517,2.503370786516854,-0.38,0
Wendell Carter,C,5000,ORL,24.38,12.86,4.876,2.572,-0.62,0
Scotty Pippen,PG,4900,MEM,23.88,12.5,4.873469387755102,2.5510204081632653,-0.62,0
Jalen Wilson,SG/SF,4100,BKN,19.88,10.43,4.848780487804878,2.54390243902439,-0.62,0
Josh Hart,SF/PF,7300,NY,35.62,18.39,4.87945205479452,2.519178082191781,-0.88,0
Josh Giddey,PG,9900,CHI,48.62,25.12,4.9111111111111105,2.5373737373737373,-0.88,0
Jaylen Wells,SF,3800,MEM,17.88,9.24,4.705263157894737,2.431578947368421,-1.12,0
Ja Morant,PG,8900,MEM,43.38,22.95,4.874157303370787,2.578651685393258,-1.12,0
Anthony Black,PG,4400,ORL,20.62,10.43,4.6863636363636365,2.3704545454545456,-1.38,0
Trendon Watford,PF/C,5600,BKN,26.62,14.01,4.753571428571429,2.501785714285714,-1.38,0
Julius Randle,PF/C,7300,MIN,35.12,18.23,4.810958904109589,2.4972602739726026,-1.38,0
Nikola Vucevic,C,8200,CHI,39.38,20.77,4.802439024390244,2.5329268292682925,-1.62,0
Desmond Bane,SG,8300,MEM,39.88,19.67,4.804819277108434,2.3698795180722896,-1.62,0
Reece Beekman,PG,4000,BKN,18.37,10.62,4.5925,2.655,-1.63,0
Jarrett Allen,C,6700,CLE,31.87,17.24,4.7567164179104475,2.5731343283582087,-1.63,0
Vince Williams,SG/SF,3000,MEM,13.12,6.64,4.373333333333333,2.2133333333333334,-1.88,0
Tyrese Haliburton,PG,9100,IND,43.38,21.62,4.767032967032968,2.375824175824176,-2.12,0
OG Anunoby,SF/PF,6900,NY,32.12,15.93,4.655072463768116,2.308695652173913,-2.38,0
Kentavious Caldwell-Pope,SG,3800,ORL,16.62,9.71,4.373684210526316,2.555263157894737,-2.38,0
Naz Reid,PF/C,5200,MIN,23.62,12.59,4.542307692307693,2.4211538461538464,-2.38,0
Cason Wallace,PG/SG,4200,OKC,18.62,9.44,4.433333333333334,2.247619047619047,-2.38,0
Jarace Walker,SF/PF,3500,IND,14.88,8.63,4.251428571428572,2.4657142857142857,-2.62,0
Nic Claxton,C,6100,BKN,27.63,15.23,4.529508196721311,2.49672131147541,-2.87,0
Donte DiVincenzo,PG/SG,4700,MIN,20.62,10.88,4.3872340425531915,2.314893617021277,-2.88,0
Alex Caruso,PG/SG,3700,OKC,15.62,7.65,4.221621621621622,2.067567567567568,-2.88,0
Jonathan Isaac,PF/C,3000,ORL,11.88,6.28,3.96,2.0933333333333333,-3.12,0
Jaren Jackson,PF/C,7900,MEM,36.38,17.76,4.605063291139241,2.248101265822785,-3.12,0
Bennedict Mathurin,SG/SF,4900,IND,21.12,10.93,4.310204081632653,2.230612244897959,-3.38,0
Pascal Siakam,PF,7600,IND,34.62,18.25,4.5552631578947365,2.401315789473684,-3.38,0
Anthony Edwards,SG,9400,MIN,43.62,23.95,4.640425531914893,2.547872340425532,-3.38,0
Drew Timme,C,4800,BKN,20.62,10.05,4.295833333333333,2.09375,-3.38,0
Luke Kennard,PG/SG,3400,MEM,13.12,6.86,3.8588235294117643,2.0176470588235293,-3.88,0
Shai Gilgeous-Alexander,PG,11400,OKC,53.12,26.98,4.659649122807017,2.3666666666666667,-3.88,0
Santi Aldama,PF,5600,MEM,23.88,12.92,4.264285714285714,2.307142857142857,-4.12,0
Jalen Brunson,PG,9000,NY,40.62,20.18,4.513333333333333,2.2422222222222223,-4.38,0
Obi Toppin,PF/C,4700,IND,19.12,9.71,4.068085106382979,2.065957446808511,-4.38,0
Isaiah Joe,SG/SF,4000,OKC,15.62,7.08,3.905,1.77,-4.38,0
Luguentz Dort,SG/SF,4500,OKC,17.88,9.43,3.973333333333333,2.0955555555555554,-4.62,0
Cameron Payne,PG/SG,3200,NY,11.38,5.14,3.5562500000000004,1.6062499999999997,-4.62,0
Mitchell Robinson,C,3300,NY,11.87,6.23,3.5969696969696967,1.887878787878788,-4.63,0
Thomas Bryant,C,3600,IND,13.12,7.0,3.644444444444444,1.9444444444444444,-4.88,0
Tyson Etienne,PG,3800,BKN,13.75,7.94,3.6184210526315788,2.0894736842105264,-5.25,0
Jalen Williams,SF/PF,8400,OKC,36.62,19.86,4.359523809523809,2.3642857142857143,-5.38,0
Jaden McDaniels,SF/PF,5300,MIN,21.12,11.12,3.984905660377359,2.0981132075471693,-5.38,0
Karl-Anthony Towns,C,9800,NY,42.62,22.48,4.348979591836734,2.293877551020408,-6.38,0
Jayson Tatum,SF/PF,10200,BOS,44.38,24.89,4.350980392156863,2.4401960784313723,-6.62,0
Kristaps Porzingis,C,8100,BOS,33.12,17.32,4.088888888888889,2.1382716049382715,-7.38,0
Chet Holmgren,PF/C,7800,OKC,30.88,15.86,3.9589743589743587,2.033333333333333,-8.12,0
Cole Anthony,PG/SG,5200,ORL,17.62,9.35,3.3884615384615384,1.7980769230769231,-8.38,0
Isaiah Hartenstein,C,6900,OKC,25.87,14.25,3.7492753623188406,2.0652173913043477,-8.63,0
Sam Hauser,SF/PF,4400,BOS,13.12,6.72,2.981818181818182,1.5272727272727271,-8.88,0
Aaron Wiggins,SF/PF,5700,OKC,18.88,8.92,3.312280701754386,1.5649122807017544,-9.62,0
Derrick White,PG,7900,BOS,29.38,15.94,3.7189873417721517,2.017721518987342,-10.12,0
Luke Kornet,C,5200,BOS,15.37,8.64,2.9557692307692305,1.6615384615384616,-10.63,0
Jaylen Brown,SG/SF,8700,BOS,32.12,17.51,3.6919540229885057,2.0126436781609196,-11.38,0
Tosan Evbuomwan,PF,3900,BKN,7.75,4.48,1.9871794871794872,1.1487179487179489,-11.75,0
Payton Pritchard,PG/SG,6500,BOS,20.62,11.32,3.1723076923076925,1.7415384615384617,-11.88,0
Jrue Holiday,PG/SG,6900,BOS,21.88,11.75,3.171014492753623,1.7028985507246377,-12.62,0
Miles McBride,PG/SG,5200,NY,11.88,6.18,2.284615384615385,1.1884615384615385,-14.12,0
JT Thor,PF,3000,WAS,7.69,0.0,2.5633333333333335,0.0,-15.0,1
Anthony Gill,PF/C,3000,WAS,12.73,0.0,4.243333333333333,0.0,-15.0,1
Johnny Furphy,SG/SF,3000,IND,5.03,0.0,1.6766666666666667,0.0,-15.0,1
Jahmir Young,PG,3000,CHI,9.12,0.0,3.0399999999999996,0.0,-15.0,1
Jaylen Clark,SF,3000,MIN,6.46,0.0,2.1533333333333333,0.0,-15.0,1
Mouhamed Gueye,PF/C,3100,ATL,14.91,0.0,4.8096774193548395,0.0,-15.5,1
Jarred Vanderbilt,PF,3200,LAL,12.73,0.0,3.978125,0.0,-16.0,1
Moussa Diabate,C,3200,CHA,15.01,0.0,4.690625000000001,0.0,-16.0,1
Jamal Cain,SF,3200,NO,13.59,0.0,4.246875,0.0,-16.0,1
Vit Krejci,SG/SF,3200,ATL,14.15,0.0,4.421875000000001,0.0,-16.0,1
Caleb Houstan,SF/PF,3300,ORL,7.5,0.0,2.2727272727272725,0.0,-16.5,1
Landry Shamet,SG/SF,3300,NY,6.17,0.0,1.8696969696969699,0.0,-16.5,1
Jordan Goodwin,SG/SF,3300,LAL,13.59,0.0,4.118181818181817,0.0,-16.5,1
Terance Mann,PG/SF,3400,ATL,16.34,0.0,4.805882352941176,0.0,-17.0,1
AJ Green,PG/SG,3400,MIL,10.45,0.0,3.073529411764706,0.0,-17.0,1
Dalton Knecht,SG/SF,3400,LAL,10.07,0.0,2.961764705882353,0.0,-17.0,1
Goga Bitadze,C,3400,ORL,8.07,0.0,2.373529411764706,0.0,-17.0,1
Jeremiah Robinson-Earl,PF,3400,NO,12.92,0.0,3.8,0.0,-17.0,1
Georges Niang,PF,3500,ATL,13.96,0.0,3.988571428571429,0.0,-17.5,1
Kenrich Williams,PF/C,3500,OKC,7.6,0.0,2.1714285714285713,0.0,-17.5,1
Gabe Vincent,PG/SG,3500,LAL,11.49,0.0,3.282857142857143,0.0,-17.5,1
Neemias Queta,C,3500,BOS,6.37,0.0,1.82,0.0,-17.5,1
Marcus Smart,PG/SG,3700,WAS,11.97,0.0,3.235135135135135,0.0,-18.5,1
Seth Curry,SG,3800,CHA,11.21,0.0,2.95,0.0,-19.0,1
Colby Jones,SF,3900,WAS,16.15,0.0,4.141025641025641,0.0,-19.5,1
Josh Okogie,SG/SF,3900,CHA,17.1,0.0,4.384615384615385,0.0,-19.5,1
Antonio Reeves,SG/SF,4000,NO,19.29,0.0,4.8225,0.0,-20.0,1
