name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Cam Whitmore,UTIL,1000,HOU,28.71,0.0,28.71,0.0,-5.0,0.0,1500,1
Jordan Miller,UTIL,1000,LAC,5.94,0.0,5.94,0.0,-5.0,0.0,1500,1
Jeff Green,UTIL,1000,HOU,8.46,0.0,8.46,0.0,-5.0,0.0,1500,1
Aaron Holiday,UTIL,1000,HOU,14.31,0.0,14.31,0.0,-5.0,0.0,1500,1
Jae'Sean Tate,UTIL,1000,HOU,9.99,0.0,9.99,0.0,-5.0,0.0,1500,1
Reed Sheppard,UTIL,1000,HOU,27.18,0.0,27.18,0.0,-5.0,0.0,1500,1
Kobe Brown,UTIL,1000,LAC,7.74,0.0,7.74,0.0,-5.0,0.0,1500,1
Drew Eubanks,UTIL,1600,LAC,7.02,0.0,4.3875,0.0,-8.0,0.0,2400,1
Jock Landale,UTIL,2000,HOU,19.71,0.0,9.855,0.0,-10.0,0.0,3000,1
David Roddy,UTIL,2200,HOU,7.65,0.0,3.477272727272727,0.0,-11.0,0.0,3300,1
Nicolas Batum,UTIL,2600,LAC,8.55,0.0,3.2884615384615388,0.0,-13.0,0.0,3900,1
Derrick Jones,UTIL,3000,LAC,17.55,0.0,5.8500000000000005,0.0,-15.0,0.0,4500,1
Steven Adams,UTIL,3400,HOU,9.9,0.0,2.911764705882353,0.0,-17.0,0.0,5100,1
Kris Dunn,UTIL,3800,LAC,16.65,0.0,4.38157894736842,0.0,-19.0,0.0,5700,1
Bogdan Bogdanovic,UTIL,4000,LAC,21.96,0.0,5.49,0.0,-20.0,0.0,6000,1
Tari Eason,UTIL,6800,HOU,26.55,0.0,3.9044117647058822,0.0,-34.0,0.0,10200,1
Jalen Green,UTIL,8400,HOU,31.14,0.0,3.7071428571428573,0.0,-42.0,0.0,12600,1
Ivica Zubac,UTIL,8800,LAC,36.63,0.0,4.1625000000000005,0.0,-44.0,0.0,13200,1
Kawhi Leonard,UTIL,9600,LAC,39.6,0.0,4.125,0.0,-48.0,0.0,14400,1
James Harden,UTIL,10600,LAC,42.21,0.0,3.9820754716981135,0.0,-53.0,0.0,15900,1
