name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Bennedict Mathurin,UTIL,3600,IND,18.88,9.35,5.244444444444444,2.5972222222222223,0.88,28.32,5400,0
Ben Sheppard,UTIL,1200,IND,6.38,2.33,5.316666666666666,1.9416666666666667,0.38,9.57,1800,0
Kenrich Williams,UTIL,1400,OKC,6.38,3.11,4.557142857142857,2.221428571428571,-0.62,9.57,2100,0
Luguentz Dort,UTIL,4400,OKC,19.88,9.28,4.518181818181818,2.109090909090909,-2.12,29.82,6600,0
Aaron Wiggins,UTIL,2800,OKC,11.62,5.61,4.15,2.0035714285714286,-2.38,17.43,4200,0
Tony Bradley,UTIL,1600,IND,5.62,2.67,3.5125,1.66875,-2.38,8.43,2400,0
TJ McConnell,UTIL,5000,IND,21.62,11.6,4.324000000000001,2.32,-3.38,32.43,7500,0
Cason Wallace,UTIL,3200,OKC,12.12,6.21,3.7874999999999996,1.940625,-3.88,18.18,4800,0
Aaron Nesmith,UTIL,4800,IND,19.62,11.22,4.0875,2.3375000000000004,-4.38,29.43,7200,0
Isaiah Joe,UTIL,1000,OKC,3.7,0.0,3.7,0.0,-5.0,0.0,1500,1
Andrew Nembhard,UTIL,6000,IND,24.38,12.85,4.063333333333333,2.1416666666666666,-5.62,36.57,9000,0
Myles Turner,UTIL,6200,IND,25.12,13.58,4.051612903225807,2.1903225806451614,-5.88,37.68,9300,0
Obi Toppin,UTIL,5600,IND,21.12,10.83,3.7714285714285714,1.9339285714285714,-6.88,31.68,8400,0
Isaiah Hartenstein,UTIL,5400,OKC,19.37,9.74,3.587037037037037,1.8037037037037038,-7.63,29.06,8100,0
Chet Holmgren,UTIL,8800,OKC,34.38,18.19,3.906818181818182,2.067045454545455,-9.62,51.57,13200,0
Alex Caruso,UTIL,6600,OKC,23.38,12.33,3.5424242424242425,1.8681818181818182,-9.62,35.07,9900,0
Pascal Siakam,UTIL,10200,IND,37.88,20.32,3.713725490196079,1.992156862745098,-13.12,56.82,15300,0
Jalen Williams,UTIL,10800,OKC,40.88,21.51,3.785185185185185,1.9916666666666667,-13.12,61.32,16200,0
Shai Gilgeous-Alexander,UTIL,14200,OKC,54.88,27.47,3.8647887323943664,1.934507042253521,-16.12,82.32,21300,0
Tyrese Haliburton,UTIL,10600,IND,30.62,16.53,2.888679245283019,1.559433962264151,-22.38,45.93,15900,0
