name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Craig Porter,PG,3100,CLE,32.88,16.63,10.606451612903227,5.364516129032258,17.38,0
Jaylon Tyson,SG/SF,3000,CLE,28.88,14.69,9.626666666666667,4.8966666666666665,13.88,0
Payton Pritchard,PG/SG,7000,BOS,42.62,22.31,6.088571428571428,3.1871428571428573,7.62,0
Jaime Jaquez,SG,3500,MIA,23.38,12.53,6.68,3.58,5.88,0
TJ McConnell,PG,3800,IND,23.75,12.01,6.25,3.1605263157894736,4.75,0
Jarace Walker,SF/PF,3300,IND,20.38,10.4,6.175757575757576,3.151515151515152,3.88,0
Bennedict Mathurin,SG/SF,4600,IND,26.13,13.48,5.680434782608695,2.9304347826086956,3.13,0
Sam Hauser,SF/PF,4500,BOS,24.12,12.77,5.36,2.8377777777777777,1.62,0
Obi Toppin,PF/C,4400,IND,22.13,11.7,5.029545454545454,2.659090909090909,0.13,0
Julian Phillips,SF/PF,3000,CHI,14.88,7.62,4.96,2.54,-0.12,0
Davion Mitchell,PG,5700,MIA,28.38,14.98,4.978947368421053,2.6280701754385967,-0.12,0
Kel'el Ware,C,6200,MIA,30.12,14.86,4.858064516129033,2.396774193548387,-0.88,0
Adem Bona,C,6000,PHI,29.12,14.25,4.8533333333333335,2.375,-0.88,0
Baylor Scheierman,SG/SF,4300,BOS,20.0,10.94,4.651162790697675,2.5441860465116277,-1.5,0
Trendon Watford,PF/C,5200,BKN,23.62,11.9,4.542307692307693,2.2884615384615388,-2.38,0
Duncan Robinson,SG/SF,3800,MIA,16.25,9.01,4.276315789473684,2.3710526315789475,-2.75,0
Jalen Wilson,SG/SF,4100,BKN,17.63,9.21,4.3,2.2463414634146344,-2.87,0
Drew Timme,C,5000,BKN,21.88,12.65,4.3759999999999994,2.5300000000000002,-3.12,0
Quentin Grimes,PG/SG,9100,PHI,41.38,20.76,4.547252747252747,2.2813186813186817,-4.12,0
Luke Kornet,C,5300,BOS,19.88,11.49,3.750943396226415,2.167924528301887,-6.62,0
Matas Buzelis,PF,5800,CHI,22.13,12.52,3.81551724137931,2.1586206896551725,-6.87,0
Haywood Highsmith,SF/PF,4000,MIA,11.25,5.89,2.8125,1.4725,-8.75,0
Tosan Evbuomwan,SF/PF,3900,BKN,10.5,6.07,2.692307692307692,1.5564102564102567,-9.0,0
Coby White,SG/SF,8900,CHI,33.88,18.65,3.806741573033708,2.095505617977528,-10.62,0
Nikola Vucevic,C,8400,CHI,30.62,17.22,3.6452380952380956,2.05,-11.38,0
Mikal Bridges,SG/SF,5800,NY,17.12,8.45,2.951724137931035,1.456896551724138,-11.88,0
Keon Johnson,PG/SG,5900,BKN,16.63,8.38,2.81864406779661,1.4203389830508477,-12.87,0
Ziaire Williams,SF,4200,BKN,7.5,4.34,1.7857142857142856,1.0333333333333334,-13.5,0
Nic Claxton,C,5800,BKN,15.38,8.07,2.6517241379310343,1.3913793103448275,-13.62,0
Kevin Huerter,SG/SF,5700,CHI,14.87,8.5,2.6087719298245613,1.4912280701754386,-13.63,0
