name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Thomas Bryant,UTIL,1000,IND,8.87,4.17,8.87,4.17,3.87,13.3,1500,0
TJ McConnell,UTIL,3200,IND,18.12,8.53,5.6625,2.6656249999999995,2.12,27.18,4800,0
Miles McBride,UTIL,2600,NY,14.38,7.26,5.5307692307692315,2.792307692307692,1.38,21.57,3900,0
Cameron Payne,UTIL,1000,NY,5.12,2.39,5.12,2.39,0.12,7.68,1500,0
Josh Hart,UTIL,8400,NY,40.12,19.25,4.776190476190475,2.2916666666666665,-1.88,60.18,12600,0
Jalen Brunson,UTIL,10600,NY,48.38,24.73,4.564150943396227,2.3330188679245283,-4.62,72.57,15900,0
Karl-Anthony Towns,UTIL,9800,NY,44.38,23.22,4.5285714285714285,2.3693877551020406,-4.62,66.57,14700,0
Obi Toppin,UTIL,4200,IND,16.38,7.98,3.9,1.9,-4.62,24.57,6300,0
Mitchell Robinson,UTIL,4000,NY,15.37,8.53,3.8425,2.1325,-4.63,23.06,6000,0
Jarace Walker,UTIL,1000,IND,0.9,0.0,0.9,0.0,-5.0,0.0,1500,1
Tyrese Haliburton,UTIL,10200,IND,45.62,23.9,4.472549019607843,2.3431372549019605,-5.38,68.43,15300,0
Ben Sheppard,UTIL,1200,IND,2.6,0.0,2.1666666666666665,0.0,-6.0,0.0,1800,1
Pascal Siakam,UTIL,8200,IND,34.62,17.87,4.221951219512195,2.1792682926829268,-6.38,51.93,12300,0
Bennedict Mathurin,UTIL,4600,IND,15.62,8.31,3.395652173913043,1.806521739130435,-7.38,23.43,6900,0
Myles Turner,UTIL,7600,IND,29.62,16.0,3.8973684210526316,2.1052631578947367,-8.38,44.43,11400,0
Mikal Bridges,UTIL,8000,NY,31.12,16.71,3.89,2.08875,-8.88,46.68,12000,0
OG Anunoby,UTIL,7800,NY,29.88,15.58,3.8307692307692305,1.9974358974358974,-9.12,44.82,11700,0
Andrew Nembhard,UTIL,7200,IND,26.88,13.19,3.7333333333333334,1.8319444444444444,-9.12,40.32,10800,0
Aaron Nesmith,UTIL,6600,IND,23.62,12.28,3.5787878787878786,1.8606060606060604,-9.38,35.43,9900,0
