name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Anthony Davis,PF,10300,DAL,55.38,27.63,5.376699029126214,2.68252427184466,3.88,0
Kevin Huerter,SG/SF,4600,CHI,26.38,13.3,5.734782608695652,2.8913043478260874,3.38,0
Josh Giddey,PG,9500,CHI,50.38,26.32,5.3031578947368425,2.7705263157894735,2.88,0
Tyler Herro,PG,9200,MIA,45.88,23.1,4.986956521739131,2.510869565217391,-0.12,0
Trey Lyles,PF/C,3900,SAC,19.38,9.28,4.969230769230769,2.3794871794871795,-0.12,0
Andrew Wiggins,SF/PF,7000,MIA,34.12,17.25,4.874285714285714,2.4642857142857144,-0.88,0
Davion Mitchell,PG,5300,MIA,25.62,13.64,4.833962264150944,2.5735849056603772,-0.88,0
Keegan Murray,PF,5400,SAC,25.88,13.65,4.792592592592592,2.5277777777777777,-1.12,0
Klay Thompson,SG/SF,5100,DAL,23.62,12.08,4.631372549019608,2.368627450980392,-1.88,0
Nikola Vucevic,C,8500,CHI,40.12,20.65,4.72,2.429411764705882,-2.38,0
Keon Ellis,PG/SG,5000,SAC,22.38,11.13,4.476,2.226,-2.62,0
Duncan Robinson,SG/SF,3700,MIA,15.62,7.54,4.221621621621622,2.037837837837838,-2.88,0
Bam Adebayo,PF/C,9800,MIA,46.12,22.71,4.706122448979592,2.31734693877551,-2.88,0
Coby White,SG/SF,8200,CHI,37.88,19.28,4.619512195121952,2.3512195121951223,-3.12,0
Zach Collins,C,3800,CHI,15.62,7.47,4.110526315789473,1.9657894736842103,-3.38,0
Naji Marshall,SF/PF,5900,DAL,25.88,13.14,4.386440677966101,2.227118644067797,-3.62,0
Domantas Sabonis,C,10500,SAC,48.88,25.34,4.655238095238095,2.413333333333333,-3.62,0
Spencer Dinwiddie,PG,5700,DAL,23.62,12.05,4.143859649122807,2.1140350877192984,-4.88,0
Alec Burks,PG/SG,3900,MIA,14.62,6.3,3.7487179487179483,1.6153846153846154,-4.88,0
Devin Carter,PG/SG,3000,SAC,9.88,4.61,3.2933333333333334,1.5366666666666668,-5.12,0
Zach LaVine,SG/SF,8700,SAC,38.38,20.4,4.411494252873563,2.3448275862068964,-5.12,0
Matas Buzelis,PF,5500,CHI,22.12,12.28,4.0218181818181815,2.2327272727272724,-5.38,0
DeMar DeRozan,SF,9000,SAC,38.88,21.05,4.32,2.338888888888889,-6.12,0
Patrick Williams,PF,4200,CHI,14.62,7.64,3.4809523809523806,1.819047619047619,-6.38,0
Dalen Terry,SG/SF,3500,CHI,10.88,5.97,3.108571428571429,1.7057142857142857,-6.62,0
Haywood Highsmith,SF/PF,4100,MIA,13.38,6.99,3.2634146341463417,1.7048780487804878,-7.12,0
Caleb Martin,PF,3500,DAL,9.88,4.67,2.822857142857143,1.3342857142857143,-7.62,0
Max Christie,SG/SF,4800,DAL,15.62,7.32,3.2541666666666664,1.5250000000000001,-8.38,0
Kel'el Ware,C,6200,MIA,22.38,12.37,3.6096774193548384,1.9951612903225806,-8.62,0
PJ Washington,SF/PF,7300,DAL,27.88,15.21,3.8191780821917805,2.083561643835617,-8.62,0
Jonas Valanciunas,C,4100,SAC,11.63,5.89,2.8365853658536584,1.4365853658536585,-8.87,0
Dereck Lively,C,4900,DAL,15.37,8.31,3.1367346938775507,1.695918367346939,-9.13,0
Kyle Anderson,PF,4200,MIA,11.87,6.26,2.826190476190476,1.4904761904761905,-9.13,0
Daniel Gafford,C,6300,DAL,18.13,9.11,2.8777777777777778,1.446031746031746,-13.37,0
Julian Phillips,SF/PF,3100,CHI,3.69,0.0,1.1903225806451612,0.0,-15.5,1
