name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Thomas Bryant,UTIL,1000,IND,8.87,4.27,8.87,4.27,3.87,13.3,1500,0
Bennedict Mathurin,UTIL,4600,IND,21.88,10.9,4.756521739130434,2.369565217391304,-1.12,32.82,6900,0
TJ McConnell,UTIL,4200,IND,19.62,9.31,4.671428571428572,2.216666666666667,-1.38,29.43,6300,0
Obi Toppin,UTIL,3800,IND,16.88,7.91,4.442105263157895,2.0815789473684214,-2.12,25.32,5700,0
Donovan Mitchell,UTIL,10800,CLE,51.38,26.82,4.757407407407407,2.4833333333333334,-2.62,77.07,16200,0
Evan Mobley,UTIL,9000,CLE,40.62,20.36,4.513333333333333,2.2622222222222224,-4.38,60.93,13500,0
Sam Merrill,UTIL,3400,CLE,12.38,6.03,3.6411764705882352,1.773529411764706,-4.62,18.57,5100,0
De'Andre Hunter,UTIL,4800,CLE,18.88,9.84,3.933333333333333,2.0500000000000003,-5.12,28.32,7200,0
Dean Wade,UTIL,2800,CLE,8.62,4.03,3.0785714285714283,1.4392857142857143,-5.38,12.93,4200,0
Myles Turner,UTIL,7600,IND,32.62,16.74,4.292105263157895,2.2026315789473685,-5.38,48.93,11400,0
Max Strus,UTIL,6400,CLE,25.88,13.11,4.043749999999999,2.0484375,-6.12,38.82,9600,0
Andrew Nembhard,UTIL,7200,IND,29.88,14.41,4.15,2.001388888888889,-6.12,44.82,10800,0
Pascal Siakam,UTIL,8000,IND,33.12,17.54,4.14,2.1925,-6.88,49.68,12000,0
Tyrese Haliburton,UTIL,10200,IND,42.62,21.6,4.178431372549019,2.11764705882353,-8.38,63.93,15300,0
Jarrett Allen,UTIL,8200,CLE,32.62,16.55,3.9780487804878044,2.0182926829268295,-8.38,48.93,12300,0
Darius Garland,UTIL,8400,CLE,30.12,15.66,3.585714285714286,1.8642857142857143,-11.88,45.18,12600,0
Aaron Nesmith,UTIL,6800,IND,22.12,12.03,3.2529411764705882,1.7691176470588235,-11.88,33.18,10200,0
Ty Jerome,UTIL,6200,CLE,16.88,8.55,2.7225806451612904,1.3790322580645162,-14.12,25.32,9300,0
