name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Nickeil Alexander-Walker,UTIL,2200,MIN,18.12,8.75,8.236363636363636,3.977272727272727,7.12,27.18,3300,0
Aaron Wiggins,UTIL,1400,OKC,9.38,4.5,6.7,3.2142857142857144,2.38,14.07,2100,0
Luguentz Dort,UTIL,3800,OKC,15.38,7.88,4.047368421052632,2.0736842105263156,-3.62,23.07,5700,0
Mike Conley,UTIL,4600,MIN,18.62,9.21,4.047826086956522,2.0021739130434786,-4.38,27.93,6900,0
Isaiah Joe,UTIL,1000,OKC,10.3,0.0,10.3,0.0,-5.0,0.0,1500,1
Kenrich Williams,UTIL,1000,OKC,3.5,0.0,3.5,0.0,-5.0,0.0,1500,1
Cason Wallace,UTIL,4800,OKC,18.88,9.17,3.933333333333333,1.9104166666666667,-5.12,28.32,7200,0
Alex Caruso,UTIL,5000,OKC,19.12,9.89,3.8240000000000003,1.9780000000000002,-5.88,28.68,7500,0
Donte DiVincenzo,UTIL,5200,MIN,19.62,10.32,3.7730769230769234,1.9846153846153847,-6.38,29.43,7800,0
Jalen Williams,UTIL,9400,OKC,40.38,21.22,4.2957446808510635,2.257446808510638,-6.62,60.57,14100,0
Rudy Gobert,UTIL,5800,MIN,21.87,10.9,3.770689655172414,1.8793103448275863,-7.13,32.8,8700,0
Shai Gilgeous-Alexander,UTIL,12200,OKC,52.88,28.13,4.334426229508197,2.305737704918033,-8.12,79.32,18300,0
Anthony Edwards,UTIL,11400,MIN,48.88,26.03,4.287719298245615,2.283333333333333,-8.12,73.32,17100,0
Naz Reid,UTIL,6400,MIN,23.38,13.43,3.6531249999999997,2.0984375,-8.62,35.07,9600,0
Chet Holmgren,UTIL,8600,OKC,32.12,17.56,3.7348837209302324,2.0418604651162786,-10.88,48.18,12900,0
Julius Randle,UTIL,9800,MIN,37.38,19.87,3.8142857142857145,2.0275510204081635,-11.62,56.07,14700,0
Isaiah Hartenstein,UTIL,7200,OKC,23.63,11.96,3.281944444444444,1.6611111111111112,-12.37,35.44,10800,0
Jaden McDaniels,UTIL,7600,MIN,25.62,13.92,3.3710526315789475,1.831578947368421,-12.38,38.43,11400,0
