name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Russell Westbrook,UTIL,5600,DEN,27.12,13.4,4.8428571428571425,2.392857142857143,-0.88,40.68,8400,0
Nikola Jokic,UTIL,13600,DEN,64.62,33.65,4.751470588235295,2.474264705882353,-3.38,96.93,20400,0
DeAndre Jordan,UTIL,1000,DEN,2.9,0.0,2.9,0.0,-5.0,0.0,1500,1
Ben Simmons,UTIL,1200,LAC,2.8,0.0,2.333333333333333,0.0,-6.0,0.0,1800,1
Aaron Gordon,UTIL,7400,DEN,29.12,15.06,3.935135135135135,2.0351351351351354,-7.88,43.68,11100,0
Peyton Watson,UTIL,1600,DEN,6.7,0.0,4.1875,0.0,-8.0,0.0,2400,1
Jamal Murray,UTIL,9800,DEN,40.62,21.75,4.144897959183673,2.219387755102041,-8.38,60.93,14700,0
Michael Porter,UTIL,6000,DEN,21.12,10.91,3.52,1.8183333333333334,-8.88,31.68,9000,0
Christian Braun,UTIL,6800,DEN,24.38,12.1,3.5852941176470585,1.7794117647058822,-9.62,36.57,10200,0
Derrick Jones,UTIL,2200,LAC,10.5,0.0,4.772727272727273,0.0,-11.0,0.0,3300,1
Bogdan Bogdanovic,UTIL,2800,LAC,14.3,0.0,5.107142857142857,0.0,-14.0,0.0,4200,1
Kris Dunn,UTIL,3400,LAC,8.8,0.0,2.588235294117647,0.0,-17.0,0.0,5100,1
Nicolas Batum,UTIL,4200,LAC,18.6,0.0,4.42857142857143,0.0,-21.0,0.0,6300,1
Norman Powell,UTIL,7200,LAC,27.9,0.0,3.875,0.0,-36.0,0.0,10800,1
Ivica Zubac,UTIL,9200,LAC,39.9,0.0,4.336956521739131,0.0,-46.0,0.0,13800,1
Kawhi Leonard,UTIL,10200,LAC,47.0,0.0,4.6078431372549025,0.0,-51.0,0.0,15300,1
James Harden,UTIL,10800,LAC,48.6,0.0,4.500000000000001,0.0,-54.0,0.0,16200,1
