name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Cason Wallace,UTIL,3200,OKC,15.12,7.26,4.725,2.26875,-0.88,22.68,4800,0
Aaron Wiggins,UTIL,2800,OKC,12.62,6.63,4.507142857142857,2.367857142857143,-1.38,18.93,4200,0
Jaylin Williams,UTIL,2000,OKC,8.62,4.12,4.31,2.06,-1.38,12.93,3000,0
Michael Porter,UTIL,5400,DEN,23.38,12.51,4.329629629629629,2.3166666666666664,-3.62,35.07,8100,0
Nikola Jokic,UTIL,13400,DEN,63.38,33.71,4.7298507462686565,2.515671641791045,-3.62,95.07,20100,0
Peyton Watson,UTIL,2400,DEN,7.63,4.18,3.1791666666666667,1.7416666666666665,-4.37,11.44,3600,0
Luguentz Dort,UTIL,4400,OKC,17.12,9.02,3.890909090909091,2.05,-4.88,25.68,6600,0
Alex Caruso,UTIL,4800,OKC,19.12,10.41,3.9833333333333334,2.16875,-4.88,28.68,7200,0
Shai Gilgeous-Alexander,UTIL,12000,OKC,54.38,29.49,4.531666666666666,2.4575,-5.62,81.57,18000,0
Christian Braun,UTIL,6600,DEN,25.88,13.49,3.9212121212121214,2.043939393939394,-7.12,38.82,9900,0
Russell Westbrook,UTIL,6000,DEN,22.88,11.9,3.813333333333333,1.9833333333333334,-7.12,34.32,9000,0
Isaiah Hartenstein,UTIL,7600,OKC,29.63,15.63,3.8986842105263153,2.056578947368421,-8.37,44.44,11400,0
Jalen Williams,UTIL,9800,OKC,40.12,20.47,4.093877551020408,2.0887755102040813,-8.88,60.18,14700,0
Chet Holmgren,UTIL,9200,OKC,36.38,19.6,3.954347826086957,2.130434782608696,-9.62,54.57,13800,0
Aaron Gordon,UTIL,8200,DEN,31.38,17.04,3.8268292682926828,2.078048780487805,-9.62,47.07,12300,0
Jamal Murray,UTIL,9400,DEN,35.62,19.56,3.789361702127659,2.0808510638297872,-11.38,53.43,14100,0
