name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Tony Bradley,UTIL,1000,IND,8.37,3.94,8.37,3.94,3.37,12.56,1500,0
Delon Wright,UTIL,1600,NY,7.88,3.18,4.925,1.9875,-0.12,11.82,2400,0
Miles McBride,UTIL,2800,NY,13.38,6.13,4.7785714285714285,2.1892857142857145,-0.62,20.07,4200,0
Obi Toppin,UTIL,4000,IND,16.38,7.44,4.095,1.86,-3.62,24.57,6000,0
TJ McConnell,UTIL,4400,IND,18.12,8.71,4.118181818181818,1.9795454545454547,-3.88,27.18,6600,0
Ben Sheppard,UTIL,2400,IND,7.38,3.44,3.075,1.4333333333333333,-4.62,11.07,3600,0
Landry Shamet,UTIL,2000,NY,5.12,2.55,2.56,1.275,-4.88,7.68,3000,0
Bennedict Mathurin,UTIL,3600,IND,11.38,5.71,3.1611111111111114,1.586111111111111,-6.62,17.07,5400,0
Andrew Nembhard,UTIL,6600,IND,26.38,13.16,3.9969696969696966,1.993939393939394,-6.62,39.57,9900,0
Jalen Brunson,UTIL,11000,NY,47.88,24.88,4.352727272727273,2.2618181818181817,-7.12,71.82,16500,0
Mitchell Robinson,UTIL,5400,NY,19.63,10.5,3.635185185185185,1.9444444444444444,-7.37,29.44,8100,0
Josh Hart,UTIL,7600,NY,30.38,15.22,3.9973684210526312,2.0026315789473688,-7.62,45.57,11400,0
Mikal Bridges,UTIL,7800,NY,30.12,15.65,3.861538461538462,2.0064102564102564,-8.88,45.18,11700,0
Karl-Anthony Towns,UTIL,10400,NY,42.38,22.28,4.075,2.1423076923076927,-9.62,63.57,15600,0
Tyrese Haliburton,UTIL,11400,IND,47.12,25.16,4.133333333333334,2.207017543859649,-9.88,70.68,17100,0
OG Anunoby,UTIL,8200,NY,30.88,15.9,3.765853658536585,1.9390243902439024,-10.12,46.32,12300,0
Aaron Nesmith,UTIL,6200,IND,20.62,12.1,3.3258064516129036,1.9516129032258063,-10.38,30.93,9300,0
Myles Turner,UTIL,8000,IND,28.38,14.8,3.5475,1.85,-11.62,42.57,12000,0
Pascal Siakam,UTIL,9000,IND,32.88,18.54,3.6533333333333333,2.0599999999999996,-12.12,49.32,13500,0
