name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Ben Sheppard,UTIL,1200,IND,7.38,3.35,6.15,2.7916666666666665,1.38,11.07,1800,0
Kenrich Williams,UTIL,1600,OKC,8.62,3.75,5.3875,2.34375,0.62,12.93,2400,0
Aaron Wiggins,UTIL,2200,OKC,9.38,4.61,4.263636363636365,2.0954545454545457,-1.62,14.07,3300,0
Isaiah Joe,UTIL,1400,OKC,5.12,2.25,3.657142857142857,1.6071428571428572,-1.88,7.68,2100,0
TJ McConnell,UTIL,4200,IND,18.12,8.66,4.314285714285715,2.0619047619047617,-2.88,27.18,6300,0
Cason Wallace,UTIL,3400,OKC,13.12,6.41,3.8588235294117643,1.8852941176470588,-3.88,19.68,5100,0
Luguentz Dort,UTIL,4600,OKC,18.38,9.11,3.9956521739130433,1.9804347826086954,-4.62,27.57,6900,0
Isaiah Hartenstein,UTIL,5000,OKC,20.13,9.96,4.026,1.9920000000000002,-4.87,30.2,7500,0
Ajay Mitchell,UTIL,1000,OKC,0.8,0.0,0.8,0.0,-5.0,0.0,1500,1
Thomas Bryant,UTIL,1000,IND,0.8,0.0,0.8,0.0,-5.0,0.0,1500,1
Andrew Nembhard,UTIL,5600,IND,22.88,11.96,4.085714285714285,2.135714285714286,-5.12,34.32,8400,0
Bennedict Mathurin,UTIL,4000,IND,14.62,7.38,3.655,1.845,-5.38,21.93,6000,0
Aaron Nesmith,UTIL,5200,IND,20.62,11.33,3.9653846153846155,2.178846153846154,-5.38,30.93,7800,0
Jalen Williams,UTIL,9800,OKC,42.38,21.72,4.3244897959183675,2.216326530612245,-6.62,63.57,14700,0
Obi Toppin,UTIL,6000,IND,22.38,11.49,3.73,1.915,-7.62,33.57,9000,0
Chet Holmgren,UTIL,8800,OKC,34.38,17.78,3.906818181818182,2.020454545454546,-9.62,51.57,13200,0
Myles Turner,UTIL,7200,IND,26.12,14.07,3.6277777777777778,1.9541666666666666,-9.88,39.18,10800,0
Alex Caruso,UTIL,6800,OKC,23.38,13.17,3.438235294117647,1.936764705882353,-10.62,35.07,10200,0
Tyrese Haliburton,UTIL,11000,IND,42.38,20.87,3.852727272727273,1.8972727272727272,-12.62,63.57,16500,0
Pascal Siakam,UTIL,10000,IND,36.88,18.21,3.688,1.8210000000000002,-13.12,55.32,15000,0
Shai Gilgeous-Alexander,UTIL,14000,OKC,55.88,28.21,3.991428571428572,2.0149999999999997,-14.12,83.82,21000,0
