name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Kevon Looney,UTIL,2000,GS,13.63,6.82,6.815,3.41,3.63,20.44,3000,0
Gary Payton,UTIL,2800,GS,13.12,6.96,4.685714285714285,2.4857142857142858,-0.88,19.68,4200,0
Trayce Jackson-Davis,UTIL,3200,GS,13.13,6.16,4.103125,1.925,-2.87,19.7,4800,0
Nickeil Alexander-Walker,UTIL,3000,MIN,11.88,6.34,3.96,2.1133333333333333,-3.12,17.82,4500,0
Mike Conley,UTIL,4400,MIN,18.62,9.72,4.231818181818182,2.2090909090909094,-3.38,27.93,6600,0
Donte DiVincenzo,UTIL,5400,MIN,19.62,10.26,3.6333333333333333,1.9,-7.38,29.43,8100,0
Jonathan Kuminga,UTIL,7400,GS,29.38,15.65,3.9702702702702704,2.114864864864865,-7.62,44.07,11100,0
Buddy Hield,UTIL,7000,GS,27.38,13.77,3.911428571428571,1.967142857142857,-7.62,41.07,10500,0
Jimmy Butler,UTIL,11200,GS,48.12,25.39,4.296428571428571,2.2669642857142858,-7.88,72.18,16800,0
Draymond Green,UTIL,7200,GS,28.12,15.34,3.905555555555556,2.1305555555555555,-7.88,42.18,10800,0
Julius Randle,UTIL,10200,MIN,42.88,21.62,4.203921568627451,2.119607843137255,-8.12,64.32,15300,0
Naz Reid,UTIL,6400,MIN,21.12,11.43,3.3,1.7859375,-10.88,31.68,9600,0
Brandin Podziemski,UTIL,7800,GS,26.88,13.34,3.4461538461538463,1.7102564102564102,-12.12,40.32,11700,0
Anthony Edwards,UTIL,12200,MIN,48.12,26.21,3.944262295081967,2.148360655737705,-12.88,72.18,18300,0
Jaden McDaniels,UTIL,8200,MIN,26.38,13.81,3.2170731707317075,1.6841463414634148,-14.62,39.57,12300,0
Rudy Gobert,UTIL,8000,MIN,25.13,13.6,3.14125,1.7,-14.87,37.7,12000,0
