name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,fpts-1k
Jayson Tatum,PF/SF,9800,BOS,48.95,25.46,4.99,2.6,-0.05,4.99
Trey Murphy,SF/SG,6800,NO,33.85,17.31,4.98,2.55,-0.15,4.98
Jalen Williams,SF/SG,7600,OKC,37.65,19.2,4.95,2.53,-0.35,4.95
CJ McCollum,PG/SG,7700,NO,37.15,18.65,4.82,2.42,-1.35,4.82
Brandon Ingram,SF/PF,7800,NO,37.35,19.82,4.79,2.54,-1.65,4.79
Caleb Martin,SF/PF,4600,MIA,20.65,9.92,4.49,2.16,-2.35,4.49
Bam Adebayo,C,8100,MIA,38.15,20.22,4.71,2.5,-2.35,4.71
Jaime Jaquez,SF/SG,6100,MIA,28.15,14.2,4.61,2.33,-2.35,4.61
Josh Giddey,SG/PG,5700,OKC,25.85,13.77,4.54,2.42,-2.65,4.54
Chet Holmgren,C,8200,OKC,38.15,20.47,4.65,2.5,-2.85,4.65
Luguentz Dort,SF/SG,4600,OKC,19.95,10.35,4.34,2.25,-3.05,4.34
Jaylen Brown,SF/SG,8000,BOS,36.85,19.15,4.61,2.39,-3.15,4.61
Jrue Holiday,PG,6700,BOS,29.85,14.3,4.46,2.13,-3.65,4.46
Shai Gilgeous-Alexander,PG,10600,OKC,49.35,26.8,4.66,2.53,-3.65,4.66
Tyler Herro,SG/PG,7900,MIA,35.65,18.81,4.51,2.38,-3.85,4.51
Herbert Jones,SF/PF,5500,NO,23.45,12.04,4.26,2.19,-4.05,4.26
Jonas Valanciunas,C,6900,NO,30.35,16.23,4.4,2.35,-4.15,4.4
Nikola Jovic,PF,4500,MIA,18.15,9.02,4.03,2.0,-4.35,4.03
Jose Alvarado,PG,4300,NO,16.25,7.51,3.78,1.75,-5.25,3.78
Delon Wright,PG,4700,MIA,18.25,8.92,3.88,1.9,-5.25,3.88
Kevin Love,PF/C,4100,MIA,14.95,7.09,3.65,1.73,-5.55,3.65
Naji Marshall,PF/SF,4200,NO,14.95,7.3,3.56,1.74,-6.05,3.56
Larry Nance,PF/C,5400,NO,20.85,10.24,3.86,1.9,-6.15,3.86
Payton Pritchard,PG,4400,BOS,15.75,8.49,3.58,1.93,-6.25,3.58
Duncan Robinson,SG/SF,4000,MIA,13.55,5.93,3.39,1.48,-6.45,3.39
Al Horford,C,5100,BOS,18.35,9.54,3.6,1.87,-7.15,3.6
Sam Hauser,SF/PF,3900,BOS,12.25,5.74,3.14,1.47,-7.25,3.14
Cason Wallace,PG/SG,3800,OKC,11.55,5.8,3.04,1.53,-7.45,3.04
Isaiah Joe,PG/SG,3700,OKC,11.05,5.34,2.99,1.44,-7.45,2.99
Aaron Wiggins,SG/SF,3900,OKC,11.25,5.52,2.88,1.42,-8.25,2.88
Kristaps Porzingis,PF/C,8400,BOS,33.55,18.83,3.99,2.24,-8.45,3.99
Haywood Highsmith,SF/PF,4400,MIA,13.45,6.98,3.06,1.59,-8.55,3.06
Kenrich Williams,SF,3600,OKC,9.25,3.72,2.57,1.03,-8.75,2.57
Derrick White,PG/SG,7100,BOS,26.45,14.15,3.73,1.99,-9.05,3.73
Gordon Hayward,SF/SG,3800,OKC,8.05,3.64,2.12,0.96,-10.95,2.12
