Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Neemias Queta (34655405),Neemias Queta,34655405,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,BOS,13.25
SF/PF,Olivier-Maxence Prosper (34655406),Olivier-Maxence Prosper,34655406,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,DAL,6.70
SF,Drew Peterson (34655408),Drew Peterson,34655408,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,BOS,6.25
SG/SF,Svi Mykhailiuk (34655409),Svi Mykhailiuk,34655409,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,BOS,6.95
SF,Jordan Walsh (34655410),Jordan Walsh,34655410,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,BOS,5.29
SG/SF,AJ Lawson (34655411),AJ Lawson,34655411,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,DAL,5.33
SG/SF,Jaden Springer (34655413),Jaden Springer,34655413,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,BOS,8.05
C,Dwight Powell (34655414),Dwight Powell,34655414,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,DAL,9.52
PF,Oshae Brissett (34655415),Oshae Brissett,34655415,CPT,3000,DAL@BOS 06/17/2024 08:30PM ET,BOS,8.79
PG,Payton Pritchard (34655359),Payton Pritchard,34655359,UTIL,2800,DAL@BOS 06/17/2024 08:30PM ET,BOS,19.14
SG/SF,Tim Hardaway Jr. (34655377),Tim Hardaway Jr.,34655377,UTIL,2600,DAL@BOS 06/17/2024 08:30PM ET,DAL,21.19
PF/C,Maxi Kleber (34655372),Maxi Kleber,34655372,UTIL,2400,DAL@BOS 06/17/2024 08:30PM ET,DAL,12.33
C,Xavier Tillman (34655368),Xavier Tillman,34655368,UTIL,2200,DAL@BOS 06/17/2024 08:30PM ET,BOS,14.42
PG/SG,Dante Exum (34655381),Dante Exum,34655381,UTIL,2200,DAL@BOS 06/17/2024 08:30PM ET,DAL,13.23
PG,Brandon Williams (34655360),Brandon Williams,34655360,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,DAL,5.75
C,Luke Kornet (34655361),Luke Kornet,34655361,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,BOS,13.72
PG/SG,Jaden Hardy (34655362),Jaden Hardy,34655362,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,DAL,11.52
PF/C,Markieff Morris (34655364),Markieff Morris,34655364,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,DAL,6.08
SF,Alex Fudge (34655365),Alex Fudge,34655365,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,DAL,4.46
SF,Greg Brown (34655367),Greg Brown,34655367,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,DAL,6.46
PG,JD Davison (34655369),JD Davison,34655369,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,BOS,6
C,Neemias Queta (34655370),Neemias Queta,34655370,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,BOS,13.25
SF/PF,Olivier-Maxence Prosper (34655371),Olivier-Maxence Prosper,34655371,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,DAL,6.70
SF,Drew Peterson (34655373),Drew Peterson,34655373,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,BOS,6.25
SG/SF,Svi Mykhailiuk (34655374),Svi Mykhailiuk,34655374,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,BOS,6.95
SF,Jordan Walsh (34655375),Jordan Walsh,34655375,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,BOS,5.29
SG/SF,AJ Lawson (34655376),AJ Lawson,34655376,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,DAL,5.33
SG/SF,Jaden Springer (34655378),Jaden Springer,34655378,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,BOS,8.05
C,Dwight Powell (34655379),Dwight Powell,34655379,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,DAL,9.52
PF,Oshae Brissett (34655380),Oshae Brissett,34655380,UTIL,2000,DAL@BOS 06/17/2024 08:30PM ET,BOS,8.79
